"Citation","Year","Number","Title","Resource type","URL"
"Sperrati et al.","2015","1","Conservation Agriculture in Latin America","Journal article","https://www.researchgate.net/publication/271965147_Conservation_Agriculture_in_Latin_America"
"Sravan and Murthy","2018","1","Enhancing Productivity in Rice-Based Cropping
Systems. In: Plant Competition in Cropping Systems.","Book","http://dx.doi.org/10.5772/intechopen.76904"
"Srinivasarao et al.","2013","1","Chapter Five - Sustainable Management of Soils of Dryland Ecosystems of India for Enhancing Agronomic Productivity and Sequestering Carbon","Book Chapter","https://www.sciencedirect.com/science/article/abs/pii/B9780124076853000050"
"Srinivasrao et al.","2019","1","Soil Health Issues for Sustainability of South Asian Agriculture","Journal","https://www.researchgate.net/publication/333433430_Soil_Health_Issues_for_Sustainability_of_South_Asian_Agriculture"
"Stathers et al.","2020","1","A scoping review of interventions for crop postharvest loss reduction in sub-Saharan Africa and South Asia.","Article","https://www.nature.com/articles/s41893-020-00622-1"
"Stavi et al.","2021","1","Food security among dryland pastoralists and agropastoralists: The climate, land-use change, and population dynamics nexus","Journal article","https://doi.org/10.1177%2F20530196211007512"
"Stefania","2021","1","Women's Right to Land Between Collective and Individual Dimensions. Some Insights From Sub-Saharan Africa","Journal of Frontiers in Sustainable Food Systems","https://www.frontiersin.org/articles/10.3389/fsufs.2021.690321/full"
"Stoop and Hart","2006","1","Research and Development Towards Sustainable Agriculture by Resource-Poor Farmers in Sub-Saharan Africa: Some Strategic and Organisational Considerations in Linking Farmer Practical Needs with Policies and Scientific Theories","Journal","https://www.researchgate.net/publication/233720946_Research_and_Development_Towards_Sustainable_Agriculture_by_Resource-Poor_Farmers_in_SubSaharan_Africa_Some_Strategic_and_Organisational_Considerations_in_Linking_Farmer_Practical_Needs_with_Policies"
"Ströh de Martínez et al.","2016","1","Food security in sub-Saharan Africa: a fresh look on
agricultural mechanisation. How adapted financial
solutions can make a difference","Report","https://www.econstor.eu/bitstream/10419/199216/1/die-study-91.pdf"
"Stuecker et al.","2018","1","Climate variability impacts on rice production in the Philippines","Journal article","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201426"
"Stäubli et al.","2018","1","Analysis of Weather- and Climate-Related Disasters
in Mountain Regions Using Different Disaster Databases","Report","https://www.geo.uzh.ch/~snus/publications/staeubli_et_al_2018.pdf"
"Sugri et al.","2021","1","Postharvest losses and mitigating technologies: evidence from Upper East Region of Ghana","Journal article","https://www.sciencedirect.com/science/article/pii/S2666188821000071"
"Sugri et al.","2021","2","Postharvest losses and mitigating technologies: evidence from Upper East Region of Ghana.","Journal","https://doi.org/10.1016/j.sftr.2021.100048"
"Sujariya et al.","2020","1","Rainfall variability and its effects on growing period and grain yield for rainfed lowland rice under transplanting system in Northeast Thailand","Journal article","https://doi.org/10.1080/1343943X.2019.1698970"
"Sulca et al.","2018","1","Teleconnections between the Peruvian central Andes and Northeast Brazil during extreme rainfall events in austral summer","Report","http://www.atmos.albany.edu/facstaff/mathias/pubs/Sulca_et_al_2016.pdf"
"Surabhi and Deepti","2009","1","Food Security in South Asia: Issues and Opportunities","Journal","https://www.researchgate.net/publication/46476331_Food_Security_in_South_Asia_Issues_and_Opportunities"
"Suresh et al.","2021","1","How productive are rice farmers in Sri Lanka? The impact of resource accessibility, seed sources and varietal diversification.","Journal article","https://doi.org/10.1016/j.heliyon.2021.e07398"
"Swain","2014","1","Crop Insurance for Adaptation to Climate Change in India.","Working paper","http://eprints.lse.ac.uk/59031/1/__lse.ac.uk_storage_LIBRARY_Secondary_libfile_shared_repository_Content_Asia%20Research%20Centre%20Working%20Papers_ARCWP61-Swain.pdf"
"Swami","2019","1","Integrated farming systems of valley regions: Food and nutritional security","Journal article","https://www.researchgate.net/publication/332229556_Integrated_farming_systems_of_valley_regions_Food_and_nutritional_security"
"Szmigiera","2022","1","Conflicts in Sub-Saharan Africa by intensity 2021","Journal","https://www.statista.com/statistics/262938/conflicts-in-sub-saharan-africa-by-intensity/"
"Tadele","2012","1","Post-harvest losses in African maize in the face of increasing food shortage","Journal article","https://www.researchgate.net/publication/257788773_Post-harvest_losses_in_African_maize_in_the_face_of_increasing_food_shortage"
"Tambutti and Gómez (eds.)","2020","1","The outlook for oceans, seas and marine resources
in Latin America and the Caribbean: Conservation, sustainable development and
climate change mitigation","ECLAC Publication","https://repositorio.cepal.org/bitstream/handle/11362/46509/4/S2000911_en.pdf"
"Tapasco et al.","2019","1","The Livestock Sector in Colombia: Toward a Program to Facilitate Large-Scale Adoption of Mitigation and Adaptation Practices.","Journal article","https://www.frontiersin.org/articles/10.3389/fsufs.2019.00061/full"
"Tapia et al.","2022","1","Water Shortage Affects Vegetative and Reproductive Stages of Common Bean (Phaseolus vulgaris) Chilean Landraces, Differentially Impacting Grain Yield Components","Journal article","https://www.mdpi.com/2223-7747/11/6/749/htm"
"Taylor et al.","2016","1","Vulnerability of Pacific Island agriculture and forestry to climate change","Journal article","https://www.researchgate.net/publication/305319291_Vulnerability_of_Pacific_Island_agriculture_and_forestry_to_climate_change"
"Tesfaye et al.","2015","1","Maize systems under climate change in sub-Saharan Africa: Potential impacts on production and food security","Journal article","https://doi.org/10.1108/IJCCSM-01-2014-0005"
"Tesfaye et al.","2016","1","Climate change perception and choice of adaptation strategies: Empirical evidence from smallholder farmers in east Ethiopia","Journal article","https://doi.org/10.1108/IJCCSM-01-2014-0017"
"Thapa and Gaiha","2011","1","Agriculture – Pathways to Prosperity in Asia and the Pacific","IFAD Report","https://www.ifad.org/documents/38714170/39135645/pathways.pdf/d87b6f4d-88cb-4c84-8b7e-6a645d0f5ea0"
"Thapa and Hessel","2016","1","IFAD’s experience in scaling up in Asia and the Pacific region","IFAD Report","https://un.org.np/sites/default/files/doc_publication/2018-10/OP18_web.pdf"
"ThinkHazard","2021","1","ThinkHazard","Website","https://thinkhazard.org/en/report/195-peru/LS"
"Thomas et al.","2018","1","Climate Change and Agriculture in Central America
and the Andean Region","Project note","https://ebrary.ifpri.org/utils/getfile/collection/p15738coll2/id/132953/filename/133157.pdf"
"Thomson et al.","2017","1","Structural adjustment programmes adversely affect vulnerable populations: a systematic-narrative review of their effect on child and maternal health.","Journal","https://publichealthreviews.biomedcentral.com/articles/10.1186/s40985-017-0059-2"
"Thornton et al.","2009","1","The impacts of climate change on livestock and livestock systems in developing countries: a review of what we know and what we need to know.","Journal article","https://doi.org/10.1016/j.agsy.2009.05.002"
"Thornton et al.","2009","2","The impacts of climate change on livestock and livestock systems in developing countries: a review of what we know and what we need to know.","Journal article","https://ideas.repec.org/a/eee/agisys/v101y2009i3p113-127.html"
"Thornton et al.","2021","1","Increases in extreme heat stress in domesticated livestock species during the twenty-first century.","Journal article","https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.15825"
"Tigchelaar et al.","2018","1","Future warming increases probability of globally synchronized maize production shocks","Report","https://www.pnas.org/doi/10.1073/pnas.1718031115"
"Tim and Roshan","2020","1","Tackling irrigation poverty traps in South Asia","Report","https://blog.policy.manchester.ac.uk/posts/2020/03/tackling-irrigation-poverty-traps-in-south-asia/"
"Tiwari and Dinar","2001","1","Role and use of economic incentives in irrigated agriculture","Report","http://web.worldbank.org/archive/website00667/WEB/PDF/ROLEAN-3.PDF"
"TNAU Agritech portal","2013","1","Horticulture Plantation crops; Cocoa","Website","https://agritech.tnau.ac.in/horticulture/horti_plantation%20crops_cocoa.html"
"Toro-Mujica et al.","2019","1","Trends and Drivers of Change of Pastoral Beef
Production Systems in a Mediterranean-Temperate
Climate Zone of Chile","Journal article","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941165/"
"Torti","2012","1","Floods in Southeast Asia: A health priority","Journal","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3529313/"
"Toufique et al.","2014","1","Assessing risks from climate variability and change
for disaster-prone zones in Bangladesh.","Journal article","https://www.sciencedirect.com/science/article/abs/pii/S2212420914000703?via%3Dihub"
"Tran et al.","2019","1","An investment plan for low-emission rice production in the Mekong River Delta region in support of Vietnam's Nationally Determined Contribution to the Paris Agreement.","Working paper","https://hdl.handle.net/10568/101315"
"Tregidgo et al.","2020","1","Vulnerability of acai palm to climate change.","Journal article","https://link.springer.com/article/10.1007/s10745-020-00172-2"
"Tremblay","2016","1","Adaptation Strategies in the Valley of the Senegal River: A Social Approach to Dealing with Climate Change in Senegal","Journal article","https://link.springer.com/chapter/10.1007/978-3-319-31392-4_12"
"Trillion Trees","2021","1","High Andean forests: Bolivia, Ecuador, Peru","Website","https://trilliontrees.org/project/andean-forests/"
"Truong An","2020","1","Shifting Crop Planting Calendar as a Climate Change Adaptation Solution.","Article","https://www.scielo.cl/scielo.php?pid=s0718-58392020000400468&script=sci-arttext-plus&tlng=en"
"Tschakert","2007","1","Views from the vulnerable: Understanding climatic and other stressors in the Sahel","Journal article","https://doi.org/10.1016/j.gloenvcha.2006.11.008"
"Tun et al.","2015","1","Assessment of land degradation and its impact on crop production in the Dry Zone of Myanmar","Journal article","https://doi.org/10.1080/13504509.2015.1091046"
"Turner et al.","2012","1","Conflict Management, Decentralization and Agropastoralism in Dryland West Africa","Journal article","https://doi.org/10.1016/j.worlddev.2011.09.017"
"UEPA","2017","1","Climate Change Impacts on Agriculture and Food Supply.","UEPA Report","www.epa.gov"
"Ullah et al.","2021","1","Agricultural Innovation and Sustainable Development: A Case Study of Rice–Wheat Cropping Systems in South Asia","Journal article","https://www.mdpi.com/2071-1050/13/4/1965"
"UN","2009","1","Women, Gender Equality and Climate Change","UN Report","https://www.un.org/womenwatch/feature/climate_change/downloads/Women_and_Climate_Change_Factsheet.pdf"
"UN","2017","1","Prospects for Poverty Reduction in Asia and Pacific: Progress, Opportunities and Challenges , Especially in Countries withsecial needs.","UN Report","https://www.unescap.org/sites/default/d8files/event-documents/E-ESCA-2-1.PDF"
"UN","2020","1","Climate Change Is an Increasing Threat to Africa.","UN Report","https://unfccc.int/news/climate-change-is-an-increasing-threat-to-africa"
"UN","2020","2","Hunger in Latin America and the Caribbean.","UN Report","https://www.paho.org/en/news/30-11-2021-new-report-hunger-latin-america-and-caribbean-rose-138million-people-just-one-year"
"UN","2020","3","The Africa Water Vision for 2025: Equitable and Sustainable Use of Water for Socioeconomic Development","Report","https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/african%20water%20vision%202025%20to%20be%20sent%20to%20wwf5.pdf"
"UN","2021","1","Coffee, environmental degradation and smallholder livelihoods","UN Report","https://www.unep.org/resources/newsletter/coffee-environmental-degradation-and-smallholder-livelihoods"
"UN","2022","1","Extreme Poverty in the Region Rises to 86 Million in 2021 due to the Deepening of the Social and Health Crisis Prompted by the COVID-19 Pandemic.","UN Report","https://www.cepal.org/en/pressreleases/extreme-poverty-region-rises-86-million-2021-due-deepening-social-and-health-crisis"
"UN","2022","3","Migration Dynamics, Refugees and Internally Displaced Persons in Africa","Report","https://www.un.org/en/academic-impact/migration-dynamics-refugees-and-internally-displaced-persons-africa"
"UN","2022","4",,"Report","https://www.unep.org/news-and-stories/press-release/number-wildfires-rise-50-2100-and-governments-are-not-prepared"
"UN","2022","2","Spreading like Wildfire: The Rising Threat of Extraordinary Landscape Fires","UN Report","https://www.unep.org/resources/report/spreading-wildfire-rising-threat-extraordinary-landscape-fires"
"UNCCD","2007","1","Desertification worldwide, Desertification worldwide, Land Degradation in Asia and the Pacific and Land Degradation in Asia and the Pacific and Causes of desertification","Report","https://www.sprep.org/attachments/UNDP-GSUworkshopSRAP-NAP.pdf"
"UNCTAD","2013","1","Key Development Challenges of a Fundamental Transformation of Agriculture","Trade and Environment Review","https://unctad.org/system/files/official-document/ditcted2012d3_ch1_en.pdf"
"UNCTAD","2021","1","Economic Development in Africa Report 2021: Reaping the potential benefits of the African Continental Free Trade Area for inclusive
 growth","UNCTAD Report","https://unctad.org/press-material/facts-and-figures-7"
"UNDP","2018","1","Human development indices and indicators: 2018 statistical update. Briefing note for countries on the 2018 statistical update – Peru. New York.","Report","https://hdr.undp.org/sites/default/files/2018_human_development_statistical_update.pdf"
"UNDP","2010","1","Latin America and the Caribbean: Climate Vulnerability","UNDP publication","https://www.adaptation-undp.org/explore/caribbean"
"UNEP","2010","1","State of Biodiversity in Latin America and the Caribbean
","UNEP publication","https://www.cbd.int/gbo/gbo3/doc/StateOfBiodiversity-LatinAmerica.pdf"
"UNEP","2010","2","Global Adaptation Network(GAN)-UNEP","UNEP Report","https://www.unep.org/gan/networks-partners"
"UNEP","2021","1","Major new project to enhance early warning systems for increased climate resilience in Timor-Leste.","UNEP Report","https://www.unep.org/news-and-stories/press-release/major-new-project-enhance-early-warning-systems-increased-climate"
"UNEP","2022","1","In South Asia, record heat threatens future of farming","Report","https://www.unep.org/news-and-stories/story/south-asia-record-heat-threatens-future-farming"
"UNEP","2022","2","Our Work in Afria/UNEP: UN Environmental Programme","UNEP Report","https://www.unep.org/regions/africa/our-work-africa"
"UNEP","2022","3","Our work in Africa","Report","https://www.unep.org/regions/africa/our-work-africa"
"UNESCO","2006","1","Education for rural people in Africa","Report","https://unesdoc.unesco.org/ark:/48223/pf0000150256"
"UNESCO","2017","1","UNESCO and gender equality in Sub-Saharan Africa: innovative programmes, visible results","Book Chapter","https://unesdoc.unesco.org/ark:/48223/pf0000259590"
"UNFCCC","2020","1","Climate Change Is an Increasing Threat to Africa","Article","https://unfccc.int/news/climate-change-is-an-increasing-threat-to-africa"
"Unganai","2009","1","Adaptation to climate change among agropastoral systems: case for Zimbabwe","Journal article","DOI:10.1088/1755-1307/6/41/412045"
"UNHCR","2022","1","Climate Risk Profile: Sahel*","Report","https://www.unhcr.org/61a49df44.pdf"
"UNICEF","2019","1","Malnutrition rises in Africa despite global decline","UNICEF Report","https://www.scidev.net/sub-saharan-africa/news/malnutrition-rises-in-africa-despite-global-decline/"
"UNIDO","2017","1","Adaptation and mitigation in the Kenyan tea industry","Report","https://open.unido.org/api/documents/5239228/download/2.Value%20chain%20vulnerability-Kenya%20country%20report.pdf"
"United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1","ARAB CLIMATE CHANGE
ASSESSMENT REPORT","Report","https://www.unescwa.org/publications/riccar-arab-climate-change-assessment-report"
"United States Environmental Protection Agency","2021","1","Climate Adaptation and Saltwater Intrusion","Publication","https://www.epa.gov/arc-x/climate-adaptation-and-saltwater-intrusion"
"Urama and Ozor","2010","1","Impacts of climate change on water resources in Africa: the role of adaptation","Journal article","https://www.researchgate.net/publication/267218899_Impacts_of_climate_change_on_water_resources_in_Africa_the_role_of_adaptation"
"US Resilience Climate Toolkit","2021","1","US Resilience Climate Toolkit: Coastal erosion","Web publication","https://toolkit.climate.gov/topics/coastal-flood-risk/coastal-erosion#:~:text=As%20global%20sea%20level%20rises,structures%20and%20loss%20of%20land."
"USAID","2012","1","Follow the Water: Emerging Issues of Climate Change and Conflict in Peru","Report","https://pdf.usaid.gov/pdf_docs/PNAEC328.pdf"
"USAID","2012","2","Climate Change Adaptation in Senegal","Fact Sheet","https://www.climatelinks.org/sites/default/files/asset/document/senegal_adaptation_fact_sheet_jan2012.pdf"
"USAID","2012","3","Climate Change Adaptation in SENEGAL","Fact Sheet","https://www.climatelinks.org/sites/default/files/asset/document/senegal_adaptation_fact_sheet_jan2012.pdf"
"USAID","2013","1","MIDDLE EAST AND NORTH AFRICA TRADE BARRIERS – A SYNTHESIS MENA REGIONAL TRADE CAPACITY BUILDING PILOT ACTIVITY","Publication","https://pdf.usaid.gov/pdf_docs/PA00N1Q6.pdf"
"USAID","2016","1","Climate change risk profile: Zambia","Report","https://www.climatelinks.org/sites/default/files/asset/document/2016%20CRM%20Fact%20Sheet%20-%20Zambia.pdf"
"USAID","2017","1","Climate Change Risk Profile Peru","USAID Climate Risk Profile Report","https://www.climatelinks.org/sites/default/files/asset/document/2017_Climate%20Change%20Risk%20Profile_Peru.pdf"
"USAID","2017","2","Climate Risk Profile India","Fact Sheet","https://www.climatelinks.org/sites/default/files/asset/document/2017_USAID%20ATLAS_Climate%20Risk%20Profile%20-%20India.pdf"
"USAID","2017","3","Climate change risk profile","Fact Sheet","https://www.climatelinks.org/sites/default/files/asset/document/2017_USAID%20ATLAS_Climate%20Change%20Risk%20Profile%20-%20Senegal.pdf"
"USAID","2017","4","Climate risk profile: Kenya","Fact Sheet","https://www.climatelinks.org/sites/default/files/asset/document/2018_USAID-ATLAS-Project_Climate-Risk-Profile-Kenya.pdf"
"USAID","2017","5","Climate change risk profile Ghana","Fact Sheet","https://www.climatelinks.org/sites/default/files/asset/document/2017_USAID_Climate%20Change%20Risk%20Profile%20-%20Ghana.pdf"
"USAID","2018","1","Climate risk profile: Amazon Basin.","Fact Sheet","https://www.climatelinks.org/resources/climate-risk-profile-amazon-basin"
"USAID","2021","1","Bureau for Humanitarian Assistance: East Asia and the Pacific - Early Recovery, Risk Reduction, and Resilience, Fiscal Year (FY) 2021.","USAID Report","https://reliefweb.int/report/world/bureau-humanitarian-assistance-east-asia-and-pacific-early-recovery-risk-reduction"
"USDA","2021","1","Latin America, Caribbean and Canada Program","Forest service (US Department of Ariculture publication)","https://www.fs.usda.gov/about-agency/international-programs/where-we-work/latin-america-caribbean-canada"
"USGS and USAID","2012","1","A Climate Trend Analysis of Senegal","Fact Sheet","https://pubs.usgs.gov/fs/2012/3123/FS12-3123.pdf"
"Ussiri and Lal","2019","1","Soil degradation in Sub-Saharan Africa: Challenges and opportunities for restoration","Journal article","https://www.researchgate.net/publication/335432827_Soil_degradation_in_Sub-Saharan_Africa_Challenges_and_opportunities_for_restoration"
"Ussiri and Lal","2019","2","Soil degradation in Sub-Saharan Africa: Challenges and opportunities for restoration","Journal","https://www.researchgate.net/publication/335432827_Soil_degradation_in_Sub-Saharan_Africa_Challenges_and_opportunities_for_restoration"
"van Velthuizen et al.","2013","1","Farming systems and food security: Priorities for science and policy under global change","Report","https://pure.iiasa.ac.at/15771/1/The%20African%20Farming%20Systems.pdf"
"Varangis et al.","2003","1","Dealing with the Coffee Crisis in Central America:Impacts and Strategies","World Bank Report","https://documents1.worldbank.org/curated/en/828021468770134855/125525322_20041117143053/additional/multi0page.pdf"
"Vergara et al.","2014","1","Agriculture and Future Climate in Latin America and the Caribbean: Systemic Impacts and Potential Responses","Book","https://www.researchgate.net/publication/265368765_Agriculture_and_Future_Climate_in_Latin_America_and_the_Caribbean_Systemic_Impacts_and_Potential_Responses"
"Verhage et al.","2018","1","Climate risk assessment and agricultural value chain prioritisation for Malawi and Zambia","Report","https://cgspace.cgiar.org/handle/10568/96184"
"Verner","2012","1","Adaptation to a changing climate in the Arab countries : a case for adaptation governance and leadership in building climate resilience","Book","https://openknowledge.worldbank.org/bitstream/handle/10986/12216/734820PUB0REVI000PUBDATE01101602012.pdf?sequence=7&isAllowed=y"
"Waddick","2017","1","Effects of Climate Change on Agriculture in Guatemala and Honduras","Journal article","https://www.american.edu/cas/economics/ejournal/upload/waddick_accessible.pdf"
"Waha et al.","2017","1","Climate change impacts in the Middle East and Northern Africa (MENA) region and their implications for vulnerable population groups.","Journal article","https://link.springer.com/article/10.1007/s10113-017-1144-2"
"Waha et al.","2017","2","Climate change impacts in the Middle East and Northern Africa (MENA) region and their implications for vulnerable population groups","Article","https://link.springer.com/article/10.1007/s10113-017-1144-2"
"Walker","2009","1","Asparagus Production in New Mexico","Journal article","https://pubs.nmsu.edu/_h/H227/index.html#:~:text=The%20New%20Mexico%20asparagus%20harvest,a%20special%20long%2Dhandle%20knife.
"
"Wang","2020","1","Adjusting Cropping Calendars of Rice-based Systems to Mitigate Heat Stress Under Climate Change in South Asia","Report","https://pure.iiasa.ac.at/id/eprint/16941/1/Report_%20Xiaobo%20Wang.pdf"
"Wang et al.","2019","1","Climate change impacts and forest adaptation in the Asia–Pacific region: from regional experts’ perspectives.","Journal","http://www.springerlink.com/"
"WFP","2021","1","CLIMATE CHANGE IN SOUTHERN AFRICA","Report","https://executiveboard.wfp.org/document_download/WFP-0000129015"
"Wikifarmer","2021","1","Wikifarmer","Website","https://wikifarmer.com/"
"Wikipedia","2020","1","Water scarcity in Africa","Article","https://en.wikipedia.org/wiki/Water_scarcity_in_Africa"
"WMO","2017","1","Satellite based early‐warning system for South Asia drought risk reduction","Report","https://public.wmo.int/en/media/news/satellite-based-early%E2%80%90warning-system-south-asia-drought-risk-reduction"
"WMO","2020","1","State of the Climate in Latin America and the Caribbean 2020","Report","https://reliefweb.int/sites/reliefweb.int/files/resources/1272_Statement_LAC_en_big.pdf"
"WMO","2020","2","State of the Climate in Africa","Report","https://library.wmo.int/index.php?lvl=notice_display&id=21778#.X5giydPsYiR"
"WMO","2020","3","State of the Climate in Latin America and the Caribbean.","WMO Report","https://reliefweb.int/organization/wmo"
"WMO","2021","1","Climate change triggers mounting food insecurity, poverty and displacement in Africa","Report","https://public.wmo.int/en/media/press-release/climate-change-triggers-mounting-food-insecurity-poverty-and-displacement-africa"
"WMO","2021","2","Climate change increasing threats in southwest Pacific: WMO report","UN Report","https://news.un.org/en/story/2021/11/1105482"
"WMO","2022","1","State of Climate in Africa highlights water stress and hazards","Report","https://public.wmo.int/en/media/press-release/state-of-climate-africa-highlights-water-stress-and-hazards"
"WOAH","2022","1","Foot and mouth disease","Report","https://www.woah.org/en/disease/foot-and-mouth-disease/"
"World Bank","2010","1","Disaster Risk Reduction in Sub-Saharan Africa","Report","https://daraint.org/wp-content/uploads/2012/01/2010_Status_DRR_Africa.pdf"
"World Bank","2012","1","THE EFFECT OF WOMEN'S ECONOMIC POWER in Latin America and Caribbean.","World Bank Report","https://www.worldbank.org/en/news/feature/2012/08/29/women-play-key-role-in-economic-gains-in-latin-american-and-caribbean"
"World Bank","2013","1","United Mexican States: Policy Notes","World Bank Report","https://openknowledge.worldbank.org/bitstream/handle/10986/16077/ACS35290PN0P12015B00PUBLIC00A9RBB04.pdf?sequence=1&isAllowed=y"
"World Bank","2013","2","Sub Saharan African Maintains Growth Momentum","Report","https://www.worldbank.org/content/dam/Worldbank/document/Africa/Report/Africas-Pulse-brochure_Vol7.pdf"
"World Bank","2014","1","South Asia’s $2.5 Trillion Infrastructure Gap","Report","https://www.worldbank.org/en/news/feature/2014/04/02/south-asia-trillion-infrastructure-gap"
"World Bank","2014","2","Turn Down The Heat: Confronting The New Climate Normal","World Bank Report","https://www.geonode-gfdrrlab.org/documents/411/download"
"World Bank","2015","1","Climate Change Threatens to Deepen Poverty in East Asia Pacific by 2030","Report","https://www.worldbank.org/en/news/press-release/2015/11/12/climate-change-threatens-to-deepen-poverty-in-east-asia-pacific-by-2030"
"World Bank","2015","2","Senegal Agricultural Sector Risk Assessment","Report","https://documents1.worldbank.org/curated/en/926271468184776681/pdf/100127-BRI-P148139-PUBLIC-ADD-SERIES-Box393225B-Senegal-Policy-Note-web.pdf"
"World Bank","2016","1","Dealing with Commodity Price Uncertainty","Report","https://papers.ssrn.com/sol3/Delivery.cfm/784.pdf?abstractid=620615"
"World Bank","2018","1","An analysis of issues shaping Africa’s economic future","Report","https://www.worldbank.org/content/dam/Worldbank/document/Africa/Report/Africas-Pulse-brochure_Vol8.pdf"
"World Bank","2019","1","Sustainable land management and restoration in the Middle East and North Africa Region: Issues, Challenges and Recommendations","Report","https://openknowledge.worldbank.org/bitstream/handle/10986/33037/Sustainable-Land-Management-and-Restoration-in-the-Middle-East-and-North-Africa-Region-Issues-Challenges-and-Recommendations.pdf?sequence=1&isAllowed=y"
"World Bank","2019","2","SUSTAINABLE LAND MANAGEMENT
AND RESTORATION IN THE MIDDLE
EAST AND NORTH AFRICA REGION
Issues, Challenges, and Recommendations","Report","https://www.profor.info/sites/profor.info/files/Sustainable-Land-Management-and-Restoration-in-the-Middle-East-and-North-Africa-Region-Issues-Challenges-and-Recommendations.pdf"
"World Bank","2019","3","An analysis of issues shaping Africa’s economic future.","World Bank Report","https://www.worldbank.org/content/dam/Worldbank/document/Africa/Report/Africas-Pulse-brochure_Vol8.pdf"
"World Bank","2020","1","East Asia and Pacific : Countries Must Act Now to Mitigate Economic Shock of COVID-19","World Bank Report","https://www.worldbank.org/en/news/press-release/2020/03/30/east-asia-and-pacific-countries-must-act-now-to-mitigate-economic-shock-of-covid-19"
"World Bank","2020","2","Agriculture and Food Systems in Latin America and the Caribbean Poised for Transformational Changes","World Bank publication press release","https://www.worldbank.org/en/news/press-release/2020/11/12/agriculture-food-systems-latin-america-caribbean-changes"
"World Bank","2020","3","Poverty and Equity Brief Sub-Saharan Africa","Report","https://databankfiles.worldbank.org/data/download/poverty/33EF03BB-9722-4AE2-ABC7-AA2972D68AFE/Global_POVEQ_SSA.pdf"
"World Bank","2020","4","Latin America and Caribbean GDP Database. World Development Indicators.","World Bank Report","https://www.worldbank.org/en/region/lac/overview"
"World Bank","2021","1","Climate-smart agriculture (CSA) is an integrated approach to managing landscapes—cropland, livestock, forests and fisheries--that address the interlinked challenges of food security and climate change.","Report","https://www.worldbank.org/en/topic/climate-smart-agriculture"
"World Bank","2021","2","East Asia and Pacific Poverty Rate 1981-2022","World Bank Report","https://www.macrotrends.net/countries/EAS/east-asia-pacific/poverty-rate"
"World Bank","2021","3","Climate Smart Agriculture","World Bank Report","https://www.worldbank.org/en/topic/climate-smart-agriculture"
"World Bank","2021","4","Climate change knowledge portal for development practitioners and policy makers: Mexico","Webpage","https://climateknowledgeportal.worldbank.org/country/mexico/vulnerability"
"World Bank","2021","5","Climate Risk Country Profile: India","Country Profile","https://climateknowledgeportal.worldbank.org/sites/default/files/country-profiles/15503-WB_India%20Country%20Profile-WEB.pdf"
"World Bank","2021","6","Small and Medium Enterprises (SMEs) Finance","Report","https://www.worldbank.org/en/topic/smefinance"
"World Bank","2021","8","Climate change action plan (2021-2025), South Asia Roadmap.","Report","https://www.worldbank.org/en/region/sar/publication/south-asia-climate-roadmap"
"World Bank","2021","9","Africa's Pulse: Climate Change Adaptation and Economic Transformation in Sub-Saharan Africa","World Bank Report","9781464818059.pdf (worldbank.org)"
"World Bank","2021","10","Climare risk country profile-Ghana","Report","https://climateknowledgeportal.worldbank.org/sites/default/files/2021-06/15857-WB_Ghana Country Profile-WEB.pdf"
"World Bank","2021","7","Urgent Action is Needed to Address the Enormous Education Crisis in Latin America and the Caribbean","World Bank Report","https://www.worldbank.org/en/news/press-release/2021/03/17/hacer-frente-a-la-crisis-educativa-en-america-latina-y-el-caribe"
"World Bank","2022","1","Braving the Storms: The East Asia and Pacific","World Bank Report","blogs.worldbank.org/eastasia"
"World Bank","2022","2","Food Security Update","Report","https://www.worldbank.org/en/topic/agriculture/brief/food-security-update"
"World Bank","2022","3","MIDDLE EAST and NORTH AFRICA CLIMATE ROADMAP (2021-2025) THE WORLD BANK GROUP Driving transformational climate action and green recovery in MENA","Publication","https://thedocs.worldbank.org/en/doc/6f868d4a875db3ef23ef1dc747fcf2ca-0280012022/original/MENA-Roadmap-Final-01-20.pdf"
"World Bank","2022","4","Enhancing Climate Adaptation and Resilience in South Asia","Report","https://www.agritechtomorrow.com/article/2022/06/enhancing-climate-adaptation-and-resilience-in-south-asia/13804"
"World Bank","2022","5","CLIMATE-SMART AGRICULTURE","Report","https://www.worldbank.org/en/topic/climate-smart-agriculture"
"World Bank","2015","3","Climate-smart agriculture in Uruguay","CSA profile document","https://cgspace.cgiar.org/handle/10568/69546"
"World Bank et al.","2014","1","Climate-Smart Agriculture in Mexico. CSA Country Profiles for Latin America Series","Report","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://assets.publishing.service.gov.uk/media/57a089dde5274a31e00002da/CSA-in-Mexico.pdf"
"World Bank et al.","2014","2","Supplementary material to Climate-Smart Agriculture in Argentina. CSA Country Profiles for Latin America Series","Report","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://assets.publishing.service.gov.uk/media/57a089dce5274a27b20002d5/Supplementary-material_Argentina.pdf
"
