"D","R"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.FS macro region"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Livelihood source"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.FS name, commodities.Max elevation (masl), commodities.Max precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Name"
"commodities.FS name, commodities.Max elevation (masl), commodities.Max precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.FS name, commodities.Max elevation (masl), commodities.Max precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max precipitation (mm), commodities.Max temperature (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max precipitation (mm), commodities.Max temperature (°C)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Max elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Max elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.FS macro region"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.Livelihood source"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max precipitation (mm), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Name"
"commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.NCBITaxonID"
"commodities.FS macro region, commodities.Livelihood source, commodities.Max THI, commodities.Max elevation (masl), commodities.Name","commodities.FS name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max precipitation (mm), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max precipitation (mm), commodities.Min temperature  (°C)","commodities.Max elevation (masl)"
"commodities.FS name, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Name"
"commodities.FS name, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.FS name, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Livelihood source"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Name"
"commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Max elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.Name"
"commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.NCBITaxonID"
"commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Max elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Livelihood source"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Max elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Max elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.FS macro region, commodities.Livelihood source, commodities.Max THI, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.FS name"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Max elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.FS macro region"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Max THI, commodities.Max elevation (masl)","commodities.FS name"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max THI","commodities.Livelihood source"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Min elevation (masl), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.FS macro region, commodities.FS name, commodities.Max THI, commodities.Max precipitation (mm), commodities.Max temperature (°C)","commodities.Livelihood source"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.FS macro region, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.FS macro region, commodities.Livelihood source, commodities.Max THI, commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.FS name"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.FS macro region, commodities.FS name, commodities.Max THI, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Livelihood source"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max THI, commodities.Max elevation (masl)","commodities.FS name"
"commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Min elevation (masl), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Name"
"commodities.FS macro region, commodities.Livelihood source, commodities.Max THI, commodities.Max elevation (masl), commodities.Min elevation (masl)","commodities.FS name"
"commodities.FS macro region, commodities.FS name, commodities.Max THI, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Livelihood source"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.FS name, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Max precipitation (mm)"
"commodities.FS macro region, commodities.FS name, commodities.Max THI, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Livelihood source"
"commodities.FS macro region, commodities.Livelihood source, commodities.Max THI, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.FS name"
"commodities.FS macro region, commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Livelihood source"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.FS macro region, commodities.Livelihood source, commodities.Max THI, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.FS name"
"commodities.FS macro region, commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Livelihood source"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Average precipitation (mm)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Name"
"commodities.FS macro region, commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min precipitation (mm)","commodities.Min elevation (masl)"
"fs_landscapes.Landscape","fs_landscapes.Farming system"
"fs_landscapes.Landscape","fs_landscapes.FS macro region"
"fs_landscapes.Landscape","fs_landscapes.Description"
"fs_country_assignments.Location: Countries (M49-code)","fs_country_assignments.FS macro region"
"dixon_macro_regions.Label","dixon_macro_regions.Name"
"dixon_macro_regions.Name","dixon_macro_regions.Label"
"M49_Countries.ISO-alpha3 Code","M49_Countries.M49 Code"
"M49_Countries.ISO-alpha3 Code","M49_Countries.Sub-region Code"
"M49_Countries.ISO-alpha3 Code","M49_Countries.Intermediate Region Code"
"M49_Countries.ISO-alpha3 Code","M49_Countries.Country or Area"
"M49_Countries.M49 Code","M49_Countries.Sub-region Code"
"M49_Countries.M49 Code","M49_Countries.Intermediate Region Code"
"M49_Countries.M49 Code","M49_Countries.Country or Area"
"M49_Countries.M49 Code","M49_Countries.ISO-alpha3 Code"
"M49_Countries.Country or Area","M49_Countries.M49 Code"
"M49_Countries.Country or Area","M49_Countries.Sub-region Code"
"M49_Countries.Country or Area","M49_Countries.Intermediate Region Code"
"M49_Countries.Country or Area","M49_Countries.ISO-alpha3 Code"
"M49_Intermediate_Regions.Intermediate Region Name","M49_Intermediate_Regions.Intermediate Region Code"
"M49_Intermediate_Regions.Intermediate Region Name","M49_Intermediate_Regions.Sub-region Code"
"M49_Intermediate_Regions.Intermediate Region Code","M49_Intermediate_Regions.Sub-region Code"
"M49_Intermediate_Regions.Intermediate Region Code","M49_Intermediate_Regions.Intermediate Region Name"
"M49_Sub-regions.Sub-region Name","M49_Sub-regions.Sub-region Code"
"M49_Sub-regions.Sub-region Name","M49_Sub-regions.Region Code"
"M49_Sub-regions.Sub-region Code","M49_Sub-regions.Region Code"
"M49_Sub-regions.Sub-region Code","M49_Sub-regions.Sub-region Name"
"M49_Regions.M49","M49_Regions.Name"
"M49_Regions.Name","M49_Regions.M49"
"farming_systems.Total area (m ha)","farming_systems.Farming system"
"farming_systems.Total area (m ha)","farming_systems.Macro region"
"farming_systems.Total area (m ha)","farming_systems.Agro-ecological zone"
"farming_systems.Total area (m ha)","farming_systems.Cultivated area (m ha)"
"farming_systems.Total area (m ha)","farming_systems.Cattle population (m head)"
"farming_systems.Total area (m ha)","farming_systems.Irrigated area (m ha)"
"farming_systems.Total area (m ha)","farming_systems.Total population (m)"
"farming_systems.Total area (m ha)","farming_systems.Agricultural population (m)"
"farming_systems.Total area (m ha)","farming_systems.Farm size (ha)"
"farming_systems.Total area (m ha)","farming_systems.Description"
"farming_systems.Total area (m ha)","farming_systems.Irrigated/rainfed"
"farming_systems.Cultivated area (m ha)","farming_systems.Irrigated area (m ha)"
"farming_systems.Description","farming_systems.Total population (m)"
"farming_systems.Agro-ecological zone","farming_systems.Irrigated area (m ha)"
"farming_systems.Description","farming_systems.Agricultural population (m)"
"farming_systems.Total population (m)","farming_systems.Irrigated area (m ha)"
"farming_systems.Irrigated area (m ha)","farming_systems.Total population (m)"
"farming_systems.Agricultural population (m)","farming_systems.Irrigated area (m ha)"
"farming_systems.Irrigated area (m ha)","farming_systems.Agricultural population (m)"
"farming_systems.Cultivated area (m ha)","farming_systems.Cattle population (m head)"
"farming_systems.Description","farming_systems.Cattle population (m head)"
"farming_systems.Description","farming_systems.Cultivated area (m ha)"
"farming_systems.Farming system","farming_systems.Irrigated/rainfed"
"farming_systems.Description","farming_systems.Irrigated area (m ha)"
"farming_systems.Cultivated area (m ha)","farming_systems.Total population (m)"
"farming_systems.Description","farming_systems.Macro region"
"farming_systems.Cultivated area (m ha)","farming_systems.Agricultural population (m)"
"farming_systems.Agro-ecological zone","farming_systems.Agricultural population (m)"
"farming_systems.Agricultural population (m)","farming_systems.Total population (m)"
"farming_systems.Total population (m)","farming_systems.Agricultural population (m)"
"farming_systems.Agro-ecological zone","farming_systems.Total population (m)"
"farming_systems.Description","farming_systems.Irrigated/rainfed"
"farming_systems.Agro-ecological zone, farming_systems.Description","farming_systems.Farming system"
"farming_systems.Agro-ecological zone, farming_systems.Description","farming_systems.Total area (m ha)"
"farming_systems.Agro-ecological zone, farming_systems.Description","farming_systems.Farm size (ha)"
"farming_systems.Farming system, farming_systems.Macro region","farming_systems.Agro-ecological zone"
"farming_systems.Farming system, farming_systems.Macro region","farming_systems.Total area (m ha)"
"farming_systems.Farming system, farming_systems.Macro region","farming_systems.Cultivated area (m ha)"
"farming_systems.Farming system, farming_systems.Macro region","farming_systems.Cattle population (m head)"
"farming_systems.Farming system, farming_systems.Macro region","farming_systems.Irrigated area (m ha)"
"farming_systems.Farming system, farming_systems.Macro region","farming_systems.Total population (m)"
"farming_systems.Farming system, farming_systems.Macro region","farming_systems.Agricultural population (m)"
"farming_systems.Farming system, farming_systems.Macro region","farming_systems.Farm size (ha)"
"farming_systems.Farming system, farming_systems.Macro region","farming_systems.Description"
"farming_systems.Farm size (ha), farming_systems.Farming system","farming_systems.Macro region"
"farming_systems.Farm size (ha), farming_systems.Farming system","farming_systems.Agro-ecological zone"
"farming_systems.Farm size (ha), farming_systems.Farming system","farming_systems.Total area (m ha)"
"farming_systems.Farm size (ha), farming_systems.Farming system","farming_systems.Cultivated area (m ha)"
"farming_systems.Farm size (ha), farming_systems.Farming system","farming_systems.Cattle population (m head)"
"farming_systems.Farm size (ha), farming_systems.Farming system","farming_systems.Irrigated area (m ha)"
"farming_systems.Farm size (ha), farming_systems.Farming system","farming_systems.Agricultural population (m)"
"farming_systems.Farm size (ha), farming_systems.Farming system","farming_systems.Description"
"farming_systems.Agro-ecological zone, farming_systems.Farming system","farming_systems.Macro region"
"farming_systems.Agro-ecological zone, farming_systems.Farming system","farming_systems.Total area (m ha)"
"farming_systems.Agro-ecological zone, farming_systems.Farming system","farming_systems.Cultivated area (m ha)"
"farming_systems.Agro-ecological zone, farming_systems.Farming system","farming_systems.Cattle population (m head)"
"farming_systems.Agro-ecological zone, farming_systems.Farming system","farming_systems.Farm size (ha)"
"farming_systems.Agro-ecological zone, farming_systems.Farming system","farming_systems.Description"
"farming_systems.Description, farming_systems.Farming system","farming_systems.Agro-ecological zone"
"farming_systems.Description, farming_systems.Farming system","farming_systems.Total area (m ha)"
"farming_systems.Description, farming_systems.Farming system","farming_systems.Farm size (ha)"
"farming_systems.Description, farming_systems.Farm size (ha)","farming_systems.Farming system"
