"From","Link type","To","Description","Bibliographic resources","Tags","Type","Connection"
"Lack of road infrastructure","Is mitigated by","Invest in road infrastructure","Construction of all-weather roads in mountainous terrain and escarpments costs several-fold more than on flat terrain and lowlands. However, market connectivity in Ethiopia is improving as the road density grew more than 70 per cent between 1997 and 2009, and the average distance to an all-weather road decreased from 21.4 km to 11.8 km. Sustainable investment in communications, road and market infrastructure to inte- grate the highland farming system into urban, national and regional markets with an emphasis on diversification into niche mountain products","Shiferaw et al. 2012; Dixon et al., 2020","Technology,infrastructure, adaptive capacity, financial","Highland temperate mixed","Highland temperate mixed-Connection-45"
"Inadequate agri research and development","Is mitigated by","Invest in agricultural research and development","Sub-Saharan Africa will need eight times more fertilizer, six times more improved seed, at least $8 billion of investment in basic storage technologies.","Lutz Goedde et al., 2019","Technology,infrastructure, adaptive capacity, financial","Highland temperate mixed","Highland temperate mixed-Connection-118"
"Lack of access to  inputs ","Is mitigated by","Improve access to markets","Improving access to markets will ensure that smallholder farmers in the system can access quality inputs.","Dixon et al., 2020","Technology,infrastructure, adaptive capacity, financial","Highland temperate mixed","Highland temperate mixed-Connection-119"
"Lack of access to improved crop varieties","Is mitigated by","Establish farmer organisations","To ensure increased and sustainable crop productivity, sub-Saharan Africa should focus on improved crop varieties by establishing farmer organizations.","SN Hlophe-Ginindza et al., 2020","Technology; Institutions Policy","Highland temperate mixed","Highland temperate mixed-Connection-120"
"Poor efficiency of farming","Is mitigated by","Improve networking and knowledge exchange","Effective knowledge exchange is a crucial part of supporting farmers to achieve emissions reductions and improve sustainability and efficient farming and climate change mitigation.","Okori, P., Munthali et al., 2022","Human capital;infrastructure, agri knowledge","Highland temperate mixed","Highland temperate mixed-Connection-121"
"Demographic pressure on land","Is mitigated by","Policy reform
","Land has introduced national level programmes and specific policy tools to address the various challenges related to demographic changes.","FMP Mugizi et al.,2020 ","Human capital;infrastructure, agri knowledge","Highland temperate mixed","Highland temperate mixed-Connection-122"
"Small farm size","Is mitigated by","Diversify livelihoods","Diversification into non-farm activities plays a significant role in the context of inadequate and rain-fed-dependent agricultural income and small farm size.","Dixon et al., 2020","Human capital;infrastructure, agri knowledge","Highland temperate mixed","Highland temperate mixed-Connection-123"
"Barriers to trade","Is mitigated by","Diversify markets","Diversifying exports to higher income markets is often more difficult than diversifying exports to regional markets.","Bonuedi et al.,2020 ","Human capital;infrastructure, agri knowledge","Highland temperate mixed","Highland temperate mixed-Connection-124"
"High poverty levels 






","Is mitigated by","Diversify livelihoods","One of the livelihood strategies that rural communities in the highland mixed system have been adopting in recent years is out-migration in search of rural off-farm employment (e.g. sugar estates, coffee, sesame and cotton growing areas), and to larger towns particularly the construction sector, and increasingly to the Middle East and Gulf states. In","Dixon et al., 2020","Technology,infrastructure, adaptive capacity, financial","Highland temperate mixed","Highland temperate mixed-Connection-47"
"Farmers engaged in agri system","Exposed to","Risk to farmers of food insecurity due to Climate Change","While low system productivity has aggravated rural poverty, lack of capital has also contributed to low productivity of the high land mixed system on multiple fronts. Indirect effects of poverty are low access to education and limited knowledge and capacity to respond to emerging climatic and market challenges.","Dixon et al., 2020","Food insecurity ","Highland temperate mixed","Highland temperate mixed-Connection-48"
"Area of land used","Exposed to","Risk to farmers of food insecurity due to Climate Change","The highland agro-ecologies, is persistently confronted with food insecurity, feed scarcity and land degradation. During heavy rains or drought periods, farmers become vulnerable to food and feed shortfalls. The latest decadal predictions, covering the five-year period from 2020 to 2024, shows continued warming and decreasing rainfall especially over North and Southern Africa, and increased rainfall over the Sahel.","Dixon et al., 2020","Socioeconomic Impact","Highland temperate mixed","Highland temperate mixed-Connection-125"
"Area of land used","Exposed to","Risk to farmers of chronic poverty due to Climate Change 
","Area of land used is experiencing  a decline in forests, farm productivity and water availability, which has been leading communities to a downward spiral of poverty.","Dixon et al., 2020","Socioeconomic Impact","Highland temperate mixed","Highland temperate mixed-Connection-126"
"Farmers engaged in agri system","Exposed to","Risk to farmers of chronic poverty due to Climate Change 
","Farmers engaged in the agry-system experiencing a decline in farm productivity and water availability, which has been leading communities to a downward spiral of poverty.","Dixon et al., 2020","Socioeconomic Impact","Highland temperate mixed","Highland temperate mixed-Connection-127"
"Increase in extreme rainfall events","Leads to","Leaching of soil nutrients","Heavy rainfall increases run-off and leaching of soil nutrients","(Kamunya S. pers. comms., 2022)","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-1"
"Increase in extreme rainfall events","Leads to","Reduced crop productivity/failure","Extreme rainfall affects tea harvesting hence reducing productivity ","(Kamunya S. pers. comms., 2022)","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-2"
"Increase in extreme rainfall events","Leads to","Damage to infrastructure","Extreme rainfall often damages the weather roads connecting tea plantations to the processing factories thus causing delays in transportation","(Kamunya S. pers. comms., 2022)","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-3"
"Increase in extreme rainfall events","Leads to","Delays in transportation","Extreme rainfall often damages the weather roads connecting tea plantations to the processing factories thus causing delays in transportation","(Kamunya S. pers. comms., 2022)","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-4"
"Increase in extreme rainfall events","Leads to","Soil erosion","Heavy rainfall in the highland regions increases the risk of  soil eroiosn and landslides ","(Kamunya S. pers. comms., 2022)","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-5"
"Increase in extreme rainfall events","Leads to","Landslide events","Heavy rainfall in the highland regions increases the risk of  soil erosion and landslides ","(Kamunya S. pers. comms., 2022)","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-6"
"Increase in hailstorms","Leads to","Reduced crop productivity/failure","There has been an increase in hail intensity in Kenya, where the net loss of tea (green leaf) due to hail is estimated at 2.7 million kilograms per year.","(Kamunya S. pers. comms., 2022)","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-7"
"Increase in drought events","Leads to","Increase in soil water deficit"," Higher frequencies of droughts greatly reduce tea yields. Low SWD is positively linked to low production  ","(Cheserek et al., 2015)","Rainfall related, Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-8"
"Increase in drought events","Leads to","Reduced crop productivity/failure","In Kenya, drought, accounts for 14%–20% loss in yields and 6%–19% plant mortality.","(Cheserek et al., 2015);(Cheruiyot et al., 2007)","Rainfall related, Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-9"
"Increase in drought events","Leads to","Crop stress/damage/mortality","In Kenya, drought, accounts for 14%–20% loss in yields and 6%–19% plant mortality.","(Cheserek et al., 2015);(Cheruiyot et al., 2007)","Rainfall related, Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-10"
"Increasingly erratic rainfall","Leads to","Shift in growing season","Projected increase in interseasonal rainfall variability. Decrease of long rains and increase in length of dry season. ","(Kamunya S. pers. comms., 2022)","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-11"
"Increase in average temperatures","Leads to","Change in production zone suitability","Temperature change is leading to the loss of optimal production zones for both coffeeand tea . In kenya tea production is likely to shift ffrom  1,500 and 2,100 masl to 2,000 and 2,300 masl by 2050.
Suitability for coffee production will also shift across East Africa. Impacts are highly negative for Arabica coffee, with Arabica suitable areas of Mozambique, Uganda and Tanzania almost disappearing >50%, areas of Burundi and Rwanda will be reduced significantly by 20-50 % and Kenya and Ethiopia <15% reduction. For Robusta coffee,Mozambique, Uganda and Tanzania might experience substantially negative impacts, whereas Ethiopia, Kenya, Rwanda and Burundi are more likely to experience gains in Robusta-suitable areas.","(Cheserek et al., 2015);(USAID, 2017);(Lemma and Megersa, 2021)","Weather and environment, temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-12"
"Increase in average temperatures","Leads to","Emergence of new pests","Warmer temperatures, wetter climates, and increased CO2 levels are likely to increase pests and fungi in tea growing areas.  
Coffee rust and berry borer are also affecting coffee production in high altitude areas in East Africa due to increasing temperatures.
With climate change, emergence of weeds and pest may necessisate for use of pesticides and fungicides which might negatively affect human health and the environment in the long-term.","(Cheserek et al., 2015);(USAID, 2017);(Lemma and Megersa, 2021)","Pests and diseases, temperature related ","SSA Highland Perennial","SSA Highland Perennial-Connection-13"
"Increase in frost events","Leads to","Reduced crop productivity/failure"," Frost incidences are unpredictable. Frost accounted for tea yield losses of up to 30% for 3 consecutive months in 2012.","(MoALFC and World Bank 2021);(Muoki et al., 2020)","Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-14"
"Increase in frost events","Leads to","Crop stress/damage/mortality"," Frost incidences are unpredictable. Frost accounted for tea yield losses of up to 30% for 3 consecutive months in 2012.If  these mother bushes are damaged by hailstorms or frost, it can be difficult to find planting materials for nurseries. Frost also causes leaves to dry up on the bush.","(MoALFC and World Bank 2021);(Muoki et al., 2020);(Cheserek et al., 2015)","Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-15"
"Increase in hailstorms","Leads to","Reduced crop productivity/failure"," Hail and frost strip leaves off the shrubs, leaving very little for harvest and leading to job losses.Tea seedlings are obtained from mother bushes. If these mother bushes are damaged by hailstorms or frost, it can be difficult to find planting materials for nurseries. Frost also causes leaves to dry up on the bush. Because hailstorms are associated with heavy rains, they lead t  fertilizer leaching, which can increase input costs","(MoALFC and World Bank 2021);(Muoki et al., 2020);(Cheserek et al., 2015)","Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-16"
"Increase in frost events","Leads to","Reduced crop productivity/failure"," Hail and frost strip leaves off the shrubs, leaving very little for harvest and leading to job losses.Tea seedlings are obtained from mother bushes. If these mother bushes are damaged by hailstorms or frost, it can be difficult to find planting materials for nurseries. Frost also causes leaves to dry up on the bush. Because hailstorms are associated with heavy rains, they lead to  fertilizer leaching, which can increase input costs","(MoALFC and World Bank 2021);(Muoki et al., 2020);(Cheserek et al., 2015)","Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-17"
"Increase in cold spells (no. of cold days)","Leads to","Crop stress/damage/mortality","Due to high present-day temperatures, increase in cold spells and reliance on rainfed agriculture, sub-Saharan Africa is highly vulnerable to climate change.","Chapman S. et al., 2020","Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-51"
"Increase in average precipitation","Leads to","Damage to infrastructure","Increase in average precipitation could result in damage infrastructure such as roads, electricity in the region.","(Kamunya S. pers. comms., 2022)","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-52"
"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","However, rainfall below 1500mm and more than 2500mmcan negatively affect tea production.","GK Bett  et al.,2018 ","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-53"
"Increase in cold spells (no. of cold days)","Leads to","Reduced crop productivity/failure"," Extreme cold conditions (190C) are detrimental to tea production and reduce efficiency of laborers in charge of tea leaves picking.","GK Bett  et al.,2018 ","Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-54"
"Increase in average precipitation","Leads to","Landslide events","Already, in the Sub-Saharan Africa, climate change has drastically  increase in the cases of landslides during flood events.","EB OBWOCHA  et al.,2015","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-55"
"Increase in drought events","Leads to","Water scarcity"," Water stress and hazards like withering droughts and devastating floods are hitting African communities, economies and ecosystems hard.","WMO, 2022","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-56"
"Increase in average temperatures","Leads to","Increase in pests ","Coffee rust and berry borer are also affecting coffee production in high altitude areas in East Africa due to increasing temperatures.","(Lemma and Megersa, 2021)","Pests and diseases;Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-57"
"Decrease in average precipitation","Leads to","Water scarcity"," Deteriorating water resources in SSA due to climate change have numerous negative ramifications, such as increasing food insecurity.","WMO, 2022","Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-58"
"Increase in frost events","Leads to","Crop stress/damage/mortality","If  these mother bushes are damaged by hailstorms or frost, it can be difficult to find planting materials for nurseries. Frost also causes leaves to dry up on the bush.","(MoALFC and World Bank 2021)","Temperature related","SSA Highland Perennial","SSA Highland Perennial-Connection-18"
"Increase in hailstorms","Leads to","Loss of income","Hail and frost strip leaves off the shrubs, leaving very little for harvest and leading to job losses.","(MoALFC and World Bank 2021)","Temperature related, socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-19"
"Increase in average precipitation","Leads to","Increase in food prices","Food supplies and prices are especially vulnerable to climate change in sub-Saharan Africa because of a lack of resilience to climatic change.","Laurent K. et al., 2022","Temperature related; Socio-economic","SSA Highland Perennial","SSA Highland Perennial-Connection-59"
"Increase in hailstorms","Leads to","Increase in migration","As climate change impacts intensify, migration will increase, sub-Saharan Africa is one of the regions suffering the most from climate change impacts.","Aimée-Noël M., 2021","Rainfal related","SSA Highland Perennial","SSA Highland Perennial-Connection-60"
"Decrease in average precipitation","Leads to","Loss of income","Drought in sub-Saharan Africa is closely linked to poverty in rural economies, increase risks of loss of rural livelihoods and income due to reduced  productivity.","IPCC,2022","Rainfall related; Socio-economic","SSA Highland Perennial","SSA Highland Perennial-Connection-61"
"Increase in drought events","Leads to","Competition for resources","Competition for land and water, increased  in Asia and sub-Saharan Africa together  due to drought and scarce water resources intensifies.","IFAD, 2013","Rainfall related; Socio-economic","SSA Highland Perennial","SSA Highland Perennial-Connection-62"
"Increase in frost events","Leads to","Loss of income","Hail and frost strip leaves off the shrubs, leaving very little for harvest and leading to job losses.","(MoALFC and World Bank 2021);(Cheserek et al., 2015)","Temperature related, socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-20"
"Increase in pests ","Leads to","Reduced produce quality","Increasing pest attacks leads to reduced quality of coffee bean and destruction of leafs and eventually the plant","(Lemma and Megersa, 2021)","Temperature related, pest and diseases","SSA Highland Perennial","SSA Highland Perennial-Connection-21"
"Increase in soil water deficit","Leads to","Reduced crop productivity/failure","Increase in temperature and decrease is rainfall leds to continued increase in soil water deficit (SWD) over time. On an annual basis, a large SWD, especially in January, February and March is reported leading to significant oscillations in tea production annually","(Cheserek et al., 2015);(Muoki et al., 2020)","Temperature and rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-22"
"Damage to infrastructure","Leads to","Delays in transportation","Delays in collection of tea leaves from the farms due to damaged road affects the quality of the produce","(Kamunya S. pers. comms., 2022)","Infrastructure, rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-23"
"Delays in transportation","Leads to","Reduced produce quality","Delays in collection of tea leaves from the farms due to damaged road affects the quality of the produce","(Kamunya S. pers. comms., 2022)","Infrastructure, rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-24"
"Reduced produce quality","Leads to","Loss of income","Sub-Saharan Africa (SSA) is characterized by low-input agriculture that leads to low income.","S Kuyah  et al.,2021 ","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-63"
"Emergence of new pests","Leads to","Reduced crop productivity/failure","Recent outbreaks and increased incidences of pests and diseases across coffee growing regions of Sub Saharan Africa leads to reduced production.","TI Liebig  et al.,2017 ","Pest and diseases; Socio-economic","SSA Highland Perennial","SSA Highland Perennial-Connection-64"
"Reduced crop productivity/failure","Leads to","Loss of income","Reduction in coffe and tea production in sub Saharan Africa due to pest and diseases leads to loss of  income.","KE Giller et al.,2021","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-65"
"Water scarcity","Leads to","Reduced crop productivity/failure","Climate change is expected to reduce water availability, this will in turn reduce productivity.","FAO,2015","Rainfall related; Socio-economic","SSA Highland Perennial","SSA Highland Perennial-Connection-66"
"Change in production zone suitability","Leads to","Loss of income","Change in farming systems production zones will leads to reduced coffee and tea production which in turn leads to loss of income."," H van Velthuizen et al.,2013 ","Seasons related; Socio-economic","SSA Highland Perennial","SSA Highland Perennial-Connection-67"
"Crop stress/damage/mortality","Leads to","Reduced crop productivity/failure"," Increases in frequency of extreme events may go beyond the impacts of mean climate change in lowering long-term yields by damaging crops.","JF Morton  et al.,2007","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-68"
"Competition for resources","Leads to","Leaching of soil nutrients","Declining per capita food production in sub-Saharan Africa due to leaching, and soil erosion, when farmers were unable to sufficiently compensate.","Pedro A. Sanchez et al., 1997","Biophysical; Environment","SSA Highland Perennial","SSA Highland Perennial-Connection-69"
"Landslide events","Leads to","Increase in migration","Increased frequency of extreme El Niño and La Niña events due to climate change will allow greater breeding during the winter in the Horn of Africa hence increased migration.","FAO,2015","Ecosystem-based; Rainfall related","SSA Highland Perennial","SSA Highland Perennial-Connection-70"
"Increase in migration","Leads to","Shift in growing season","Increased in migration will cause inefficient labour and thus shift in growing seasons.","FAO,2015","Seasons related; Socio-economic","SSA Highland Perennial","SSA Highland Perennial-Connection-71"
"Leaching of soil nutrients","Leads to","Reduced crop productivity/failure","Nutrient leaching could diminish soil fertility, accelerate soil acidification, increase fertilizer costs for farmers, and reduce crop yields.","Pedro A. Sanchez et al., 1997","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-72"
"Soil erosion","Leads to","Leaching of soil nutrients","On average up to 40% of the nutrients can be lost due to erosion.","Pedro A. Sanchez et al., 1997","Biophysical; Environment","SSA Highland Perennial","SSA Highland Perennial-Connection-73"
"Shift in growing season","Leads to","Increase in food insecurity","Shift in growing seasons leads to low yields hence increased food insecurity.","Diogo M. et al.,2022","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-74"
"Loss of income","Leads to","Increase in food insecurity","The situation has slowly improved since 2000, but in 2016, 27% of the population lived with severe food insecurity due to rises in inequality.","Diogo M. et al.,2022","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-75"
"Reduced crop productivity/failure","Leads to","Increase in food insecurity","Food reserves diminished in a vicious cycle of income loss, declining productivity, and increasing debt.","V Bjornlund  et al.,2022","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-76"
"Increase in food prices","Leads to","Increase in food insecurity","Staple food prices in sub-Saharan Africa surged by an average 23.9 percent in 2020-22, the most since the 2008 global financial crisis.","V Bjornlund  et al.,2022","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-77"
"Reduced crop productivity/failure","Leads to","Increase in food prices"," International tea prices are likely to increase significantly (more than 26
percent) as a result of a decline in production in key areas","(FAO,2015);(Bongase ED, 2017)","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-25"
"Fragmented landscapes","Leads to","Inadequate agri research and development","Fragmented spatial distribution of the highlands, and the long-term investments needed to undertake research on perennial crops and systems, has in many ways limited the development of research capacity for this agroecology. For countries such as Tanzania, Ethiopia and Uganda, the humid highland areas are restricted in size compared to agriculture in the country as a whole, and they have limited research infrastructure. Rwanda and Burundi face the classic small country problem, and it is primarily Kenya that has invested in research on the highland perennial farming system. But, even in Kenya, there tends to be a focus on cereals and grain legumes.","(Dixon et al., 2020)","Sensitivity/sussceptibility to harm ","SSA Highland Perennial","SSA Highland Perennial-Connection-26"
"Large contributor to national/regional GDP","Leads to","Unstable commodity prices","Commodity prices would lead to a 1.6 percentage points of GDP decline in government balances. ","World Bank,2013","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-78"
"High illiteracy rates ","Leads to","Inadequate agri research and development","As the majority of the world's poor, illiterate and undernourished live in Sub Saharan Africa and hence leading to inadequate agri research and management.","UNESCO, 2006","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-79"
"Barriers to trade","Leads to","Unstable commodity prices"," The sub-Saharan Africa region is facing severe shocks associated with the steep decline in commodity prices due to barriers to trade.","World Bank,2013","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-80"
"Unsustainable land management practices","Leads to","High prevalence of land degradation","Land-use changes and unsustainable land management are direct human causes of land degradation.","Lennart O. and Humberto B., 2020","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-81"
"Poor water use efficiency and management","Leads to","Water scarce area"," Inadequate water resources can become a constraint to improved agricultural development and food security.","UN,2020","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-82"
"High levels of deforestation","Leads to","High prevalence of land degradation","Overharvesting of wood for charcoal contributes to the high rate of deforestation in Sub-Saharan Africa, leading to land degradation.","IPCC,2022","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-83"
"Reliance on rainfed agriculture","Leads to","Unstable commodity prices","Stagnating agricultural yields and decreasing commodity prices during the past two decades have led to increasing poverty in sub-Saharan Africa. ","KIT, 2018","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-84"
"Cultivation area prone to frost","Leads to","Unstable commodity prices"," Increase in extreme weather causes crop damage and failure due to events such as droughts, hail, storms, floods, frost, and landslides leading to unstable prices.","AN Karuri  et al.,2021","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-85"
"Limited uptake of modern technologies","Leads to","Unsuitable crop varieties","Many of the improved crop varieties currently in use in Sub-Saharan Africa do not yield as much as they would if adequate water were available and limited uptake of modern technologies.","Kamunya S. pers. comms., 2022","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-86"
"Lack of road infrastructure","Leads to","Barriers to trade"," Poor-quality roads and weak transport infrastructure have long been an issue for African trade.","Dave D. et al., 2017","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-87"
"Inadequate agri research and development","Leads to","Unsuitable crop varieties","Increasing temperatures and declining rainfall coupled with inadequate agri research development led to large parts of sub-Saharan Africa becoming unsuitable for multiple staple crops. ","S Chapman  et al.,2020","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-88"
"Reliance on rainfed agriculture","Leads to","Increase in food insecurity","Reliance on rainfed crop production prevails across SSA. Less than 1 percent of arable land area is equipped for irrigation,leading to increased food insecurity.","V Bjornlund  et al.,2022","Human capacity, Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-27"
"Limited uptake of modern technologies","Leads to","Reduced crop productivity/failure","Sub-Saharan Africa (SSA) has the lowest agricultural  production due to low adoption of fertilizer and other inputs in crop production.","Simeon Ehui and John Pender, 2005","Human capacity, Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-89"
"Unsustainable land management practices","Leads to","Soil erosion","Unsustainable land management practices leads to soil erosion.","Pedro A. Sanchez et al., 1997","Human capacity, Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-90"
"High illiteracy rates ","Leads to","Competition for resources","Majority of the people in the region are illiterate hence competing for scarce natural resource.","FAO,2015","Human capacity, Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-91"
"Poor water use efficiency and management","Leads to","Water scarcity","Due to population growth, urbanization, and climate change, competition for water resources is expected to increase, with a particular impact on agriculture.","FAO,2015","Human capacity, Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-92"
"Unsustainable land management practices","Leads to","Leaching of soil nutrients","Soil degradation in arable land is driven by suboptimal land management practices that induce declines in soil chemical and  physical features.","Ussiri, David and  Lal, Rattan, 2019","Human capacity, Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-93"
"Poor water use efficiency and management","Leads to","Increase in soil water deficit","Africa's lands are largely vulnerable and threatened by soil degradation and low water availability, especially in semi-arid and arid lands.","M Diop  et al.,2022 ","Human capacity, Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-94"
"Small farm size","Leads to","Increase in migration","Due to critically small farm sizes, increasing participation in a growing rural non-farm economy and reliance on remittances from migration of some household members are expected. The highland perennial farming system thus has the potential to be the most productive system and at the same time the largest source of rural-urban migration in East Africa","(Dixon et al., 2020)","Human capacity, Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-28"
"Inadequate agri research and development","Leads to","Emergence of new pests","Sub Sahara Africa (SSA) was the most vulnerable region to invasion due to various factors such  asemergence of new pests.                                                                                                                                                                                                                                                                                                                                                                                                           "," S Ndlela  et al.,2022 ","Research and development; Pest and diseases","SSA Highland Perennial","SSA Highland Perennial-Connection-95"
"Reliance on rainfed agriculture","Leads to","Shift in growing season","Seasonal climate variability frequently undermines farm yields, reduces food availability, and lowers income.","Z Guido et al., 2020","Rainfall related; Seasons; Human Capacity","SSA Highland Perennial","SSA Highland Perennial-Connection-96"
"Unstable commodity prices","Leads to","Increase in food prices","Sub-Saharan Africa countries will continue to face low and volatile prices in global commodity markets.","AN Karuri  et al.,2021","Financial; Institutions","SSA Highland Perennial","SSA Highland Perennial-Connection-97"
"Barriers to trade","Leads to","Increase in food prices","Higher trade taxes on the continent compared to other regions are among the factors discouraging trade among African countries leading to increase in food prices.","AN Karuri  et al.,2021","Infrastructure; Financial; Institutions","SSA Highland Perennial","SSA Highland Perennial-Connection-98"
"Lack of road infrastructure","Leads to","Reduced produce quality","Africa's infrastructure is improving but it is doing so from a low base. Poor-quality roads and weak transport infrastructure  reduce quality of produce during transportation.","A Wudad et al.,2021","Infrastructure; Financial; Farm level","SSA Highland Perennial","SSA Highland Perennial-Connection-99"
"Large contributor to national/regional GDP","Leads to","Increase in food prices","Staple food price inflation is lower in countries with greater local production and among products with lower consumption shares.","Cedric O. et al., 2022","Financial; Institutions","SSA Highland Perennial","SSA Highland Perennial-Connection-100"
"Reliance on rainfed agriculture","Leads to","Change in production zone suitability","Due to high present-day temperatures and reliance on rainfed agriculture, sub-Saharan Africa is highly vulnerable to climate change hence leading to change in production zone suitability.","S Chapman  et al.,2020","Seasons related; Socio-economic","SSA Highland Perennial","SSA Highland Perennial-Connection-101"
"Lack of road infrastructure","Leads to","Delays in transportation","Poor roads networks leads to delays in transportation.                                                          ","A Wudad et al.,2021","Infrastructure; Institutions; Farm level","SSA Highland Perennial","SSA Highland Perennial-Connection-102"
"Small farm size","Leads to","Loss of income","The enset-coffee subsystem of southwest Ethiopia has the average highest population density of all the highland subsystems. 2.2%rate of population increase is causing farm sizes to fall below a critical size threshold, and the system might not be able to provide sufficient income.","(Dixon et al., 2020)","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-29"
"Poor water use efficiency and management","Is mitigated by","Implement efficient water management","To cope with uncertain rainfall distribution in the the system, water conservation and management options are promoted, including water storage and harvesting, and cost-effective drip irrigation, mulching and shade to improve soil water content and yields ","(UNIDO, 2017);(Dennis Garrity et al., 2017);(Bongase ED, 2017)","Farm-level, infrastructure","SSA Highland Perennial","SSA Highland Perennial-Connection-30"
"Unsustainable land management practices","Is mitigated by","Implement conservation agriculture practices","Build capacity on conservation farming techniques  including management interventions to minimise water and soil loss.","(UNIDO, 2017);(Dennis Garrity et al., 2017)","Human capacity, technology, conservation agriculture","SSA Highland Perennial","SSA Highland Perennial-Connection-31"
"Barriers to trade","Is mitigated by","Improve interprovincial interventions","Integrate diversifying systems into larger regional markets through the East African Community and for S. Tanzanian Highlands through COMESA for effective cross-border input delivery, opening up of regional feed markets, better price integration across urban markets, and for exploiting agroecological comparative advantage of highlands","(Dennis Garrity et al., 2017)","Institutions and policy, Governance","SSA Highland Perennial","SSA Highland Perennial-Connection-32"
"Unsuitable crop varieties","Is mitigated by","Adopt heat tolerant varieties","Cultivars are sensitive to stress. Genetically improved cultivars - tea cultivars with higher optimal temperature thresholds.","(Kamunya S. pers. comms., 2022)","Technology","SSA Highland Perennial","SSA Highland Perennial-Connection-33"
"Unsuitable crop varieties","Is mitigated by","Adopt drought tolerant varieties






","Cultivars are sensitive to stress. Genetically improved cultivars - tea cultivars with higher drought tolerance e.g. through greater rooting depths.","(Kamunya S. pers. comms., 2022)","Technology","SSA Highland Perennial","SSA Highland Perennial-Connection-34"
"Unsuitable crop varieties","Is mitigated by","Invest in irrigation infrastructure","Cultivars are sensitive to stress. ","(Kamunya S. pers. comms., 2022)","Infrastructure, technology","SSA Highland Perennial","SSA Highland Perennial-Connection-35"
