"Label","Type-1","Type-2","Description","Tags","Bibliographic resource","Developer and name of external database","Link to external database","Type"
"Water scarcity","Impact","Biophysical","Increased temperatures causing reduce water and pasture avilability  hence causing reduction in livestock health and competition for resources and conflicts","CIAT and USAID, 2016;Filho et al., 2020;Thornton et al., 2009","Biophysical"," "," ","SSA_Agropastoral"
"Increased incidence of bushfires","Impact","Biophysical"," Bush fire incidences occurs in pastoral systems often during. Extreme drought events are likely to worsen such practices","World Bank, 2015;Tremblay, 2016","Biophysical "," "," ","SSA_Agropastoral"
"Increase in pests ","Impact","Biophysical","Amplified effects of parasites due to lowered immunity associated with poor nutrition.","Fall A. pers. comms., 2022","Biophysical, Pest and diseases"," "," ","SSA_Agropastoral"
"Crop stress/damage/mortality","Impact","Biophysical"," "," ","Biophysical "," "," ","SSA_Agropastoral"
"Unpredictable planting period","Impact","Biophysical"," "," ","Biophysical "," "," ","SSA_Agropastoral"
"Reduced livestock productivity","Impact","Biophysical"," "," ","Biophysical "," "," ","SSA_Agropastoral"
"Reduced fodder quality","Impact","Biophysical"," "," ","Biophysical "," "," ","SSA_Agropastoral"
"Increase in heat stress","Impact","Biophysical"," "," ","Biophysical "," "," ","SSA_Agropastoral"
"Land degradation","Impact","Biophysical"," "," "," "," "," ","SSA_Agropastoral"
"Decrease in diseases","Impact","Biophysical","Decrease in vectoral diseases e.g. tsetse fly. ","Fall A. pers. comms., 2022","Pest and diseases"," "," ","SSA_Agropastoral"
"Increase in livestock mobility","Impact","Socioeconomic","Increase in livestock mobility in search for water and forage.","Stavi et al., 2021;Dixon et al., 2020; Hughes, 2014 ;Tremblay, 2016;Zougmore et al., 2016Kabede et al., 2021;Kirby, 2022;Ayantunde at al., 2011","Biophysical "," "," ","SSA_Agropastoral"
"Competition for resources","Impact","Socioeconomic","Competition with non-nomadic farmers for access to water.","Dixon et al., 2020","Socioeconomic"," "," ","SSA_Agropastoral"
"Increase in migration","Impact","Socioeconomic"," "," ","Socioeconomic"," "," ","SSA_Agropastoral"
"Conflict over resources","Impact","Socioeconomic"," "," "," "," "," ","SSA_Agropastoral"
"Decrease in livestock mobility","Impact","Socioeconomic"," "," "," "," "," ","SSA_Agropastoral"
"Dependence on food aid","Impact","Socioeconomic"," "," "," "," "," ","SSA_Agropastoral"
"Loss of income","Impact","Socioeconomic"," "," "," "," "," ","SSA_Agropastoral"
"Increase in food insecurity","Impact","Socioeconomic"," "," "," "," "," ","SSA_Agropastoral"
"Increase in poverty","Impact","Socioeconomic","Close to 100 million farmers, half of them extremely poor, live in the African agropastoral farming system characterized by highly variable, semi-arid climate and poor soil conditions","Dixon et al., 2020;Hughes, 2014;Zougmore et al., 2016;","Socioeconomic"," "," ","SSA_Agropastoral"
"Unsustainable natural resource use","Vulnerability","Human capital, gender and agricultural knowledge","Unsustainable land and water management practices in the system  which contributes to land degradation,reduced productivity","USAID, 2012;Dixon et al.,2020","Human capacity"," "," ","SSA_Agropastoral"
"Demographic pressure on land","Vulnerability","Human capital, gender and agricultural knowledge","Key trends in the system include rapid population growth and urbanization","USAID, 2012;Dixon et al.,2020","Human capacity"," "," ","SSA_Agropastoral"
"Reliance on rainfed agriculture","Vulnerability","Human capital, gender and agricultural knowledge"," "," "," "," "," ","SSA_Agropastoral"
"High illiteracy rates ","Vulnerability","Human capital, gender and agricultural knowledge"," "," "," "," "," ","SSA_Agropastoral"
"Unequal opportunities for women ","Vulnerability","Human capital, gender and agricultural knowledge","A major gender gap in the agropastoral system concerns customary access to land, the most basic production factor.","Dixon et al.,2020;Tremblay, 2016","Human capacity"," "," ","SSA_Agropastoral"
"Weak land tenure and access rights for women","Vulnerability","Institutions and policies"," "," "," "," "," ","SSA_Agropastoral"
"Weak land tenure ","Vulnerability","Institutions and policies"," "," "," "," "," ","SSA_Agropastoral"
"Inadequate climate information services","Vulnerability","Institutions and policies","Information on weather predictions and early warning mechanisms is often inadequate  and untimely","World Bank, 2015;Dixon et al., 2020","Capacity building"," "," ","SSA_Agropastoral"
"Low access to markets","Vulnerability","Economic, financial and markets","Both domestic and international market systems are underdeveloped in most systems. In East Africa pastoralists travel Long distance from the urban centres","Dixon et al., 2020;Zougmore et al., 2016;Ayantunde at al., 2011","Financial "," "," ","SSA_Agropastoral"
"Barriers to trade","Vulnerability","Economic, financial and markets"," "," "," "," "," ","SSA_Agropastoral"
"Lack of access to market information","Vulnerability","Economic, financial and markets","To reduce financial risks and purchase of inputs such as fertiliser, slash and burn is used to control weeds and a limited form of shifting cultivation are only practised in low population areas, for example Mozambique and Zambia, and also in southern Ethiopia, as justified by bush encroachment in bimodal and subtropical bioclimates","Dixon et al., 2020","Financial "," "," ","SSA_Agropastoral"
"Low access to credit","Vulnerability","Economic, financial and markets"," "," "," "," "," ","SSA_Agropastoral"
"Unstable commodity prices","Vulnerability","Economic, financial and markets"," "," "," "," "," ","SSA_Agropastoral"
"Water scarce area","Vulnerability","Sensitivity/
susceptibility to harm","Reduced water availability since 1960, especially around the Senegal River Basin.","Tremblay, 2016","Biophysical"," "," ","SSA_Agropastoral"
"High prevalence of land degradation","Vulnerability","Sensitivity/
susceptibility to harm","Land degradation affects 34% of the territory. Soil degradation is prominent, it is primarily caused by overgrazing and forest clearing.","Tremblay, 2016","Biophysical, socioeconomic"," "," ","SSA_Agropastoral"
"Unfavourable soil conditions","Vulnerability","Sensitivity/
susceptibility to harm","The system is characterized by highly variable, semi-arid climate and poor soil conditions.","Dixon et al., 2020","Biophysical"," "," ","SSA_Agropastoral"
"Land fragmentation","Vulnerability","Sensitivity/
susceptibility to harm","The increasing subdivision and privatization of land in East Africa particularly Kenya complicates livelihoods as it may lead to fencing, which reduces livestock access to pasture, watering points and saltlicks, and curtails mobility during drought. 
In west Africa, there is increasing restriction to mobility due to expansion of crop field into grazing land. Some pastoralists go on long distance transhumance to sub-humid zone ","Dixon et al., 2020;Zougmore et al., 2016;Ayantunde at al., 2011","Institutions and policy"," "," ","SSA_Agropastoral"
"Small farm size","Vulnerability","Lack of capacity to cope and adapt"," Farm sizes are usually small and diversity is the norm in West African farming systems. Even at the level of the individual farm unit, farmers typically cultivate 10 or more crops in diverse mixtures that vary across soil type, topographical position and distance from the household compound.","Zougmore et al., 2016","Human capacity"," "," ","SSA_Agropastoral"
"Limited uptake of modern technologies","Vulnerability","Lack of capacity to cope and adapt","Low adoption of new technology is mostly related to their low profitability and perceived risks rather than available capital","Dixon et al., 2020","Human capacity"," "," ","SSA_Agropastoral"
"High poverty levels 






","Vulnerability","Lack of capacity to cope and adapt","Close to 100 million farmers, half of them extremely poor, live in the African agropastoral farming syste.  Senegal for example is has 47% of the population living under the national poverty line. ","Dixon et al., 2020;Tremblay, 2016","Human capacity"," "," ","SSA_Agropastoral"
"Unequal opportunities for women ","Vulnerability","Lack of capacity to cope and adapt","Gender inequality  is high in the system due to traditional social and religious norms.","Dixon et al., 2020;Tremblay, 2016","Human capacity"," "," ","SSA_Agropastoral"
"Limited uptake of modern technologies","Vulnerability","Lack of capacity to cope and adapt","Smallholder farmers lack the capacity to process, store or distribute agricultural products.","Dixon et al., 2020;Herrero et al., 2016;Zougmore et al., 2016","Technology, infrastructure"," "," ","SSA_Agropastoral"
"Lack of knowledge on processing/value addition","Vulnerability","Lack of capacity to cope and adapt","Smallholder farmers lack the capacity to process, store or distribute agricultural products.Technology will play a significant role in adapting pastoral and agro-pastoral systems to climate change","Herrero et al., 2016","Human capacity"," "," ","SSA_Agropastoral"
"Predominantly small-scale subsistence farming","Vulnerability","Lack of capacity to cope and adapt","More than 90% of Senegal's agricultural land is comprised of small-scale, family-based farms engaged in subsistence and rain-fed agriculture.","World Bank, 2015","Human capacity"," "," ","SSA_Agropastoral"
"Conflict prone area","Vulnerability","Lack of capacity to cope and adapt","Tradition of violent theft of cattle (cattle rustling) and problem of armed rebellion in the Horn of Africa. Ther is also conflict occassionally along transhumance routes West Africa. In some other parts agro-pastoralist land is being lost to agricultural investors and this is likely to hinder mobility. This is likely to affect traditional migratory routes  for different seasons","Dixon et al., 2020; Ayantunde at al., 2011;Turner et al., 2012;Kabede et al., 2021;Kirby, 2022","Human capacity"," "," ","SSA_Agropastoral"
"Unequal opportunities for women ","Vulnerability","Lack of capacity to cope and adapt","One of the challenges for the system is land resource access and tenure constraints especially for women.  Customary tenure systems
continue to predominate in the system, especially in rural areas, in spite of statutoryefforts to ‘modernize’ the tenure landscape in recent decades.","Dixon et al., 2020;Turner et al., 2012;Kabede et al., 2021","Human capacity"," "," ","SSA_Agropastoral"
"Lack of willingness to invest in sustainable agricultural practices","Vulnerability","Lack of capacity to cope and adapt"," "," "," "," "," ","SSA_Agropastoral"
"Reliance on rainfed agriculture","Vulnerability","Lack of capacity to cope and adapt"," "," "," "," "," ","SSA_Agropastoral"
"Large contributor to national GDP","Vulnerability","Lack of capacity to cope and adapt"," "," "," "," "," ","SSA_Agropastoral"
"Reliance on rainfed agriculture","Vulnerability","Lack of capacity to cope and adapt"," "," "," "," "," ","SSA_Agropastoral"
"Dependent on a single crop type","Vulnerability","Lack of capacity to cope and adapt"," "," "," "," "," ","SSA_Agropastoral"
"Demographic pressure on land","Vulnerability","Lack of capacity to cope and adapt","Demographic pressure on land is transforming transhumance and communal grazing to more sedentary forms of production.","Dixon et al., 2020;Turner et al., 2012;Kabed","Human capacity"," "," ","SSA_Agropastoral"
"Implement reforestation practices","Adaptation option","Natural capital"," Scale-up agroforestry interventions e.g. farmer-managed natural regeneration (FMNR).","Dixon et al., 2020","Climate  smart agriculture"," "," ","SSA_Agropastoral"
" ","Adaptation option","Natural capital"," "," "," "," "," ","SSA_Agropastoral"
"Invest in water harvesting and storage infrastructure","Adaptation option","Physical capital","Construction of small dams in Senegal to collect water for farming and animal use ","Tremblay, 2016;Herrero et al., 2016","Conservation agriculture, community level"," "," ","SSA_Agropastoral"
" ","Adaptation option","Physical capital"," "," "," "," "," ","SSA_Agropastoral"
" ","Adaptation option","Physical capital"," "," "," "," "," ","SSA_Agropastoral"
" ","Adaptation option","Physical capital"," "," "," "," "," ","SSA_Agropastoral"
"Diversify livelihoods","Adaptation option","Human capital","Farmers adapt to uncertain climatic and environmental conditions through a range of adaptive management practices such as adoption of short cycle cultivars, the relocation of some crops and the practice of market gardening in rainy conditions alternating according to the seasons and women breeding small ruminants for sale.","Dixon et al., 2020;Ayantunde at al., 2011;Tremblay, 2016;Herrero et al., 2016;Ayantunde at al., 2011","Human capacity"," "," ","SSA_Agropastoral"
"Promote literacy ","Adaptation option","Human capital","An increase in education amongst pastoralist communities, resulting in increasing opportunities for new employment and diversification, and participation in national political processes ","Herrero et al., 2016","Human capacity"," "," ","SSA_Agropastoral"
"Build women's  capacity ","Adaptation option","Human capital","Increase women access to land resources and paid labour to enhance their benefits and enable them to access opportunities for value addition and improved production","Hughes, 2014","Human capacity"," "," ","SSA_Agropastoral"
"Implement fodder management","Adaptation option","Human capital","Promote market-driven models to establish fodder production via such as purely rain-fed fodder production,rain-fed fodder with supplemental irrigation from harvested rainwater (e.g., sub-surface dams) andf odder production based on the groundwater irrigation for
sites with groundwater table close to the surface.","D’Alessandro et al., 2015","Human capacity"," "," ","SSA_Agropastoral"
"Implement efficient water management","Adaptation option","Human capital","In southern Africa some of the strategies include reducing the plant population to reduce the water demand by crops.
","Dixon et al., 2020;Kabede et al., 2021","Human capacity"," "," ","SSA_Agropastoral"
"Diversify livestock ","Adaptation option","Human capital","Shift to small ruminants and camels. ","Zougmore et al., 2016;Herrero et al., 2016;Kabede et al., 2021;Ayantunde at al., 2011","Human capacity"," "," ","SSA_Agropastoral"
"Implement fodder management","Adaptation option","Human capital"," "," "," "," "," ","SSA_Agropastoral"
"Adopt drought tolerant varieties






","Adaptation option","Human capital","Adaptation strategies such as switching to improved varieties in climate change-sensitive crops need to be considered, yet should be carefully weighed against adverse outcomes, such as a resulting decline of agro-biodiversity and loss of local crop types","UNHCR, 2022;Dixon et al., 2020","Human capacity"," "," ","SSA_Agropastoral"
"Plant multiple varieties","Adaptation option","Human capital","Cultivar devopment targeting varieties that response to more than one threats ","Zougmore et al., 2016","Human capacity, biophysical"," "," ","SSA_Agropastoral"
"Implement efficient water management","Adaptation option","Human capital","Implement water conservation technologies alongside cultivar development e.g irrigation and water harvesting, sub, surface dams along river beds","Zougmore et al., 2016;Dixon et al., 2020"," Conservation agriculture"," "," ","SSA_Agropastoral"
"Implement agroforestry practices","Adaptation option","Human capital","Integrating trees with crops serve as “nutrient pumps,” bringing nutrients that are too deep for crops. They can be used to enhance soil nitrogen, when nitrogen-fixing trees are planted. Their leaves can serve as mulch which might suppress some weed growth but would also help cool the soil.","Zougmore et al., 2016;Dixon et al., 2020"," Conservation agriculture"," "," ","SSA_Agropastoral"
"Improve climate change awareness
","Adaptation option","Human capital","With climate information services, farmers will be able to plan their planting and make projections about rainfall distribution patterns and temperature variations","Zougmore et al., 2016","Human capacity"," "," ","SSA_Agropastoral"
"Implement conservation agriculture practices","Adaptation option","Human capital","Soil organic matter is beneficial to cultivation, due to its abilities to improve soil structure and enhance water and nutrient retention. It includes practices such as no-till agriculture, offseason cover crops, use of animal manure and biochar.","Tremblay, 2016;ILRI, 2013","Conservation agriculture"," "," ","SSA_Agropastoral"
"Adjust crop calendar
","Adaptation option","Human capital"," "," "," "," "," ","SSA_Agropastoral"
"Livestock mobility to semi-arid/sub-humid zones","Adaptation option","Human capital"," "," "," "," "," ","SSA_Agropastoral"
"Plant multiple crop types","Adaptation option","Human capital"," "," "," "," "," ","SSA_Agropastoral"
"Plant multiple crop types","Adaptation option","Human capital"," "," "," "," "," ","SSA_Agropastoral"
"Capacity building on sustainable agricultural practices","Adaptation option","Human capital"," "," "," "," "," ","SSA_Agropastoral"
"Build capacity on value addition","Adaptation option","Human capital"," "," "," "," "," ","SSA_Agropastoral"
"Undertake crop rotation","Adaptation option","Human capital","Limited form of shifting cultivation are only practised in low population areas, for example Mozambique and Zambia, and also in southern Ethiopia, as justified by bush encroachment in bimodal and subtropical bioclimates","Dixon et al., 2020","Climate  smart agriculture"," "," ","SSA_Agropastoral"
"Establish farmer organisations","Adaptation option","Social capital","A significant potential for poverty reduction is expected through the intensification and diversification of the agropastoral system, especially among farmers who are able to organize themselves in farmer associations.","Dixon et al., 2020","Human capacity"," "," ","SSA_Agropastoral"
"Increase awareness of gender equality ","Adaptation option","Political capital "," "," "," "," "," ","SSA_Agropastoral"
"Build the capacity of agricultural extension agents","Adaptation option","Political capital ","Build capacity and support technical and extension services and research.","Kabede et al., 2021","Human capacity"," "," ","SSA_Agropastoral"
"Invest in agricultural research and development","Adaptation option","Political capital "," "," "," "," "," ","SSA_Agropastoral"
"Invest in agricultural research and development","Adaptation option","Political capital ","Incorporating in R&D approaches to build a whole system capacity and adopting an integrated approach that addresses the range of constraints farmers face along the value chain.","Unganai, 2009;Dixon et al., 2020;Kabede et al., 2021","Human capacity"," "," ","SSA_Agropastoral"
"Land tenure reform","Adaptation option","Political capital ","Improve land tenure and access rights in the agropastoral system.","Dixon et al., 2020;Hughes, 2014;Zougmore et al., 2016","Institutions and policy"," "," ","SSA_Agropastoral"
"Improve access to climate information services","Adaptation option","Political capital ","Increased access to agricultural support services, which improves the availability and the quality of relevant climate information will further enhance awareness of climate change within of the rural community and result in better management of climate-induced risks in these vulnerable agricultural systems.asts and early warning systems.","Unganai, 2009;Dixon et al., 2020;Debela et al., 2015;ILRI, 2013","Institutions and policy"," "," ","SSA_Agropastoral"
"Improve access to agricultural extension services","Adaptation option","Political capital "," "," "," "," "," ","SSA_Agropastoral"
"Policy reform
","Adaptation option","Political capital "," "," "," "," "," ","SSA_Agropastoral"
"Develop/improve early warning systems","Adaptation option","Political capital ","Use of intricate systems of local knowledge to predict weather or forecast a
climatic event. This allows pastoralists to better plan for and manage drought (for
example, agro-pastoralists in Kenya use indigenous indicators of rainfall variability
to interpret meteorological forecasts)","Herrero et al., 2016;Unganai, 2009;Kandji et al., 2006","Weather and environment"," "," ","SSA_Agropastoral"
"Build climate information services","Adaptation option","Political capital "," "," "," "," "," ","SSA_Agropastoral"
"Improve access to markets","Adaptation option","Financial capital","Improved access to markets for tree products, cereals and animal feeds has increased commercialisation of the products and competition for resources.I Market access also enhance diversified production and community resilience.","Dixon et al., 2020;Ayantunde at al., 2011","Financial "," "," ","SSA_Agropastoral"
"Improve access to credit","Adaptation option","Financial capital","The conversion of livestock resources into financial resources through uptake of
saving schemes which can smooth livelihood volatility. Credit schemes may help
with investment that can increase productivity or livelihood diversification","Dixon et al., 2020;Ayantunde at al., 2011","Financial "," "," ","SSA_Agropastoral"
"Facilitate access to loans","Adaptation option","Financial capital","Sharing, loaning and gifting of livestock is part of pastoralists’ traditional social networks, but intensifies during and after
drought. Also sharing of labour between families to act as a social safety-net","Herrero et al., 2016","Financial "," "," ","SSA_Agropastoral"
"Improve access to market information","Adaptation option","Financial capital","Develop market information systems.","Dixon et al., 2020;Ayantunde at al., 2011","Financial "," "," ","SSA_Agropastoral"
"Improve access to risk insurance schemes","Adaptation option","Financial capital"," "," "," "," "," ","SSA_Agropastoral"
" ","Adaptation option","Financial capital"," "," "," "," "," ","SSA_Agropastoral"
"Farmers engaged in agri system","Exposure "," ","More than 90% of Senegal's agricultural land is comprised of small-scale, family-based farms engaged in subsistence and rain-fed agriculture. The livestock sub-sector employs about 3 million people.","CIAT and BFS/USAID, 2016"," "," "," ","SSA_Agropastoral"
"Area of land used","Exposure "," ","Permanent meadows and pastures for livestock rearing constitute 29% of Senegal's total harvested land area.","CIAT and BFS/USAID, 2016"," "," "," ","SSA_Agropastoral"
"Risk to farmers of loss of livelihoods due to Climate Change","Risk"," ","Climate change affecting the ability to sustain agro-pastoralist livelihoods in East africa region","Kirby, 2022"," "," "," ","SSA_Agropastoral"
"Risk to farmers of food insecurity due to Climate Change","Risk"," ","Chronic food insecurity contributed by rainfall variability and poor soils","Dixon et al., 2020;Stavi et al., 2021;Kirby, 2022"," "," "," ","SSA_Agropastoral"
"Risk to farmers of chronic poverty due to Climate Change
","Risk"," "," "," "," "," "," ","SSA_Agropastoral"
"Increase in drought events","Hazard","Rainfall related","Devastating droughts have occurred in the past in the dry sub-humid parts of the zone, such as in 1930, 1972 and more recently in the farming system.","(World Bank, 2021)","Rainfall related."," ","","SSA Cereal-root crop mixed"
"Increasingly erratic rainfall","Hazard","Rainfall related","There is considerable excess of rainfall over evapotranspiration.","(World Bank, 2021)","Rainfall related."," ","","SSA Cereal-root crop mixed"
"Increase in average temperatures","Hazard","Temperature related","It also has higher temperatures and in some areas the presence of a tsetse challenge which limits livestock numbers and prevents the use of animal traction, particularly in the moist sub-humid zone.","(World Bank, 2021)","Temperature related."," ","","SSA Cereal-root crop mixed"
"Increase in extreme rainfall events","Hazard","Rainfall related"," The frequency of extreme weather events such as rainfalls has increased substantially in the region over the past four decades, and it has increased at a faster pace than in the rest of the world.","(World Bank, 2021)","Rainfall related."," ","","SSA Cereal-root crop mixed"
"Rising sea levels","Hazard","Rainfall related","There is significant regional variability in sea-level trends around Africa. Sea-level increase reached 5 mm per year in several oceanic areas surrounding the continent and exceeded 5 mm per year in the south-western Indian Ocean from Madagascar eastward towards and beyond Mauritius. ","(UN, 2020)","Rainfall related."," "," ","SSA Cereal-root crop mixed"
"Increase in tropical cyclones/hurricanes","Hazard","Maritime related","Tropical Cyclone Idai was among the most destructive tropical cyclones ever recorded in the southern hemisphere, resulting in hundreds of casualties and hundreds of thousands of displaced.","(UN, 2020)","Maritime Related."," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
"Soil erosion","Impact","Biophysical","The farming system experiences deleterious levels of soil erosion, largely due to the interaction between harsh climates of high erosivity, fragile soils of high erodibility, steep slopes, and poor natural resource management.","(S.Zingore et al., 2015)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Landslide events","Impact","Biophysical","Landslide events occur due to increased rainfall that's poorly distributed.Landslides (LS) impacts are acute in regions whichare characterized by mountainous topography, intense rains and deep weathering profiles.","(R.Peter et al., 2017)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Shift in growing season","Impact","Biophysical","Growing seasons have been pushed forward due to delays in rainfall around planting time and increased drought events.","(World Bank, 2021)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Flash floods","Impact","Biophysical","Heavy rainfall that's poorly distributed causes flash floods in some regions.","(World Bank, 2021)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Damage to infrastructure","Impact","Biophysical","One of sub-Saharan Africa's top developmental challenges, which is also affecting the farming system, continues to be the shortage of physical infrastructure. For instance,electricity infrastructure is largely inadequate, unreliable, and poorly developed, particularly in rural areas.","(C. Jabara et al., 2009)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Leaching of soil nutrients","Impact","Biophysical","Irregular heavy rainfall patterns result in fertiliser and nutrient leaching.","(World Bank, 2021)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Siltation/sedimentation of rivers","Impact","Biophysical","Heavy rainfall causes soil erosion which leads to sedimentation of rivers.","(World Bank, 2021)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Reduced crop productivity/failure","Impact","Biophysical","Crop yields in the farming system have lagged behind due pest and disease attack, and also declining soil fertility.","(V. Bjornlund et al.,2020)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Increase in diseases","Impact","Biophysical","Cassava Mosaic and Brown Streak virus diseases continue to affect the main food crop, cassava, in Sub -Saharan Africa.","(FAO, 2022)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Land degradation","Impact","Biophysical","About 65% of the agricultural land is degraded, mainly due to low nutrient application, soil erosion and soil acidification.","(E. Nkonya., 2016)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Delays in transportation","Impact","Biophysical","Delays in transportation in the region due to poor infrastructure.","(C. Jabara et al., 2009)","Biophysical"," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
"Loss of income","Impact","Socioeconomic","Loss of income due to declining crop yield caused by changes in rainfall patterns together with increase in temperatures.","(World Bank, 2021)","Socio-Economic"," "," ","SSA Cereal-root crop mixed"
"Increase in food insecurity","Impact","Socioeconomic","Food insecurity and hunger are caused by many factors, often being intertwined with one another. In general, the principal causes of hunger include poverty, conflict, climate and weather, lack of investment in agriculture, and unstable markets.","(V Bjornlund et al., 2022)","Socio-Economic"," "," ","SSA Cereal-root crop mixed"
"Increase in poverty","Impact","Socioeconomic","Majority of the population in the system are living in abject poverty.","(N. S. Emife and O. Emeka ,2020) ","Socio-Economic"," "," ","SSA Cereal-root crop mixed"
"Increase in food prices","Impact","Socioeconomic","Food inflation increased throughout 2019, on average, across 20 countries in the region due to  supply and demand, weather, disease outbreaks, war, and natural disasters.","(IMF,2021)","Socio-Economic"," "," ","SSA Cereal-root crop mixed"
"Increase in food spoilage/wastage","Impact","Socioeconomic","Nearly a third of the food farmers grow in the farming system  is lost due to lack of refrigeration and poor market access. ","Peyton Fleming, (2019)","Socio-Economic"," "," ","SSA Cereal-root crop mixed"
"Increase in malnutrition/ Reduced calorie intake","Impact","Socioeconomic","A significant proportion of the population in the farming system is undernourished and experiences food shortages during the hungry period , that is at the end of the dry season and beginning of the wet season.","(AW Onyango., 2019)","Socio-Economic"," "," ","SSA Cereal-root crop mixed"
"Conflict over resources","Impact","Socioeconomic","Cattle herders and crop cultivators in the farming system have been fighting over natural resources.","(X. Fang et al.,2020)","Socio-Economic"," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
"Reliance on rainfed agriculture","Vulnerability","Human capital, gender and agricultural knowledge","Farming system is vulnerable to the impacts of global climate change. This is largely due to the region's reliance on rainfed agriculture, which is highly sensitive to changes in temperature, precipitation, and extreme weather events.","(S. Chapman et al., 2020)","Weather and Environment"," "," ","SSA Cereal-root crop mixed"
"Limited uptake of modern technologies","Vulnerability","Human capital, gender and agricultural knowledge","Mechanization technology for the needs of smallholders in this system is sorely needed.","(R Kombat etal., 2021)","Technology"," "," ","SSA Cereal-root crop mixed"
"Crop is highly susceptible to diseases ","Vulnerability","Human capital, gender and agricultural knowledge","The system is vulnerable to Invasive species i.e maize striga and cassava mosaic which are a major cause of crop loss and can adversely affect food security in the region.","(Paini DR et al.,2016)","Pest and Diseases"," "," ","SSA Cereal-root crop mixed"
"High poverty levels 






","Vulnerability","Human capital, gender and agricultural knowledge","About half the population in this farming system lives in abject poverty","(UNCTAD,2021)","Finance"," "," ","SSA Cereal-root crop mixed"
"Low levels of climate change awareness at the farmer level","Vulnerability","Human capital, gender and agricultural knowledge","Africa is probably the most vulnerable continent to climate change and variability, because of the combination of its low adaptive capacity with particular eco-climatic and socio-economic conditions. Nevertheless it remains one of the regions less covered by climate change studies","(T Alemu et al., 2011)","Human  Capacity"," "," ","SSA Cereal-root crop mixed"
"Unsustainable natural resource use","Vulnerability","Human capital, gender and agricultural knowledge","Revenues from the extraction of natural resources should provide funds for badly needed development, but instead have fuelled state corruption, environmental degradation, poverty and violence in the region.","(UNEP, 2022)","Weather and Environment"," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
"Weak land tenure and access rights for women","Vulnerability","Institutions and policies","Women represent a large part of the 2.5 billion people who depend on lands managed through customary, community-based tenure systems and are especially reliant on commons for their lives and livelihoods. However,they have very often limited and unsecured access to land and natural resources and tend to be excluded from decisions concerning them.","(E. Stefania, 2021)","Institutions and policy"," "," ","SSA Cereal-root crop mixed"
"Inconsistencies in policy implementation","Vulnerability","Institutions and policies","The actions and policies of both African and foreign governments in the recent past have led to many social, environmental and human problems in African nations.","(P. Curran et al., 2018)","Institutions and policy"," "," ","SSA Cereal-root crop mixed"
"Conflict prone area","Vulnerability","Institutions and policies","The cereal-root crop mixed farming system  have been having continuing conflicts between settled crop cultivators and nomadic Fulani cattle herders, though many Fulani have settled, managing mixed crop livestock systems.","(M. Szmigiera, 2022)","Capacity building"," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
"Low access to credit","Vulnerability","Economic, financial and markets","Smallholder farmers are vulnerable to Lack of access to credit due to lack of collaterals in the region.","(Daniel F. Runde  et al ., 2021)","Governance"," "," ","SSA Cereal-root crop mixed"
"Unstable commodity prices","Vulnerability","Economic, financial and markets","In the African farming system, often middlemen traders buy farm-gate grains at low prices. Family-farmers, with few options, are frequently vulnerable to such exploitation.","(World Bank, 2019)","Governance"," "," ","SSA Cereal-root crop mixed"
